Seedling_ID,Needle_age,Measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
1,old,30,Jun/23/2025,10:18:31,128,152,1.19,364,
1,old,30,Jun/23/2025,10:18:49,282,244,0.87,161,1.7
2,new,30,Jun/23/2025,10:19:01,697,621,0.89,174,1.4
2,new,30,Jun/23/2025,10:19:18,163,156,0.96,218,1.7
3,old,30,Jun/23/2025,10:19:27,492,487,0.99,237,1.7
3,old,30,Jun/23/2025,10:19:39,209,250,1.2,370,1.7
4,new,30,Jun/23/2025,10:20:04,392,336,0.86,155,2.6
4,old,30,Jun/23/2025,10:20:34,217,248,1.14,332,1.4
5,new,30,Jun/23/2025,10:21:10,219,203,0.93,199,4.8
5,old,30,Jun/23/2025,10:21:25,262,329,1.26,408,1.7
6,new,30,Jun/23/2025,10:21:36,406,310,0.77,97,4.9
6,old,30,Jun/23/2025,10:21:47,226,229,1.01,250,1.7
7,new,30,Jun/23/2025,10:22:04,318,253,0.8,117,1.4
7,old,30,Jun/23/2025,10:22:19,245,293,1.2,370,2.5
8,new,30,Jun/23/2025,10:22:36,261,222,0.85,148,1.4
8,old,30,Jun/23/2025,10:22:47,210,255,1.22,383,3.5
9,new,30,Jun/23/2025,10:23:09,294,399,1.36,472,1.7
9,old,30,Jun/23/2025,10:23:30,116,131,1.14,332,1.4
10,new,30,Jun/23/2025,10:23:46,313,309,0.99,237,1.4
10,new,30,Jun/23/2025,10:23:58,213,324,1.52,573,1.4
11,new,30,Jun/23/2025,10:24:17,133,177,1.33,453,1.4
11,old,30,Jun/23/2025,10:24:27,258,298,1.16,345,1.4
12,new,30,Jun/23/2025,10:25:09,214,187,0.88,167,1.4
12,old,30,Jun/23/2025,10:25:31,321,340,1.06,281,1.4
13,new,30,Jun/23/2025,10:25:41,404,413,1.02,256,2.4
13,old,30,Jun/23/2025,10:25:53,237,279,1.18,357,1.4
14,new,30,Jun/23/2025,10:26:05,181,185,1.03,262,2.4
14,old,30,Jun/23/2025,10:26:16,301,319,1.06,281,1.4
15,new,30,Jun/23/2025,10:26:27,446,324,0.73,72,1.7
15,old,30,Jun/23/2025,10:26:41,222,217,0.98,231,1.7
16,new,30,Jun/23/2025,10:26:57,422,421,1,243,1.7
16,old,30,Jun/23/2025,10:27:10,242,298,1.23,389,2.4
17,new,30,Jun/23/2025,10:27:23,496,494,1,243,1.4
17,old,30,Jun/23/2025,10:27:34,235,376,1.6,624,1.4
18,new,30,Jun/23/2025,10:27:54,336,336,1,243,1.7
18,old,30,Jun/23/2025,10:28:06,282,312,1.11,313,1.4
19,new,30,Jun/23/2025,10:28:22,258,243,0.94,205,1.7
19,old,30,Jun/23/2025,10:28:37,302,298,0.99,237,1.5
20,old,30,Jun/23/2025,10:28:51,195,276,1.42,510,1.4
20,old,30,Jun/23/2025,10:29:00,140,168,1.2,370,2.3
21,old,30,Jun/23/2025,10:29:11,274,354,1.29,427,1.4
21,old,30,Jun/23/2025,10:29:21,237,267,1.13,326,1.4
22,new,30,Jun/23/2025,10:29:30,450,451,1,243,2.3
22,old,30,Jun/23/2025,10:29:38,229,310,1.36,472,1.3
23,new,30,Jun/23/2025,10:29:54,329,295,0.9,180,1.5
23,old,30,Jun/23/2025,10:30:29,202,290,1.44,522,2.3
24,new,30,Jun/23/2025,10:30:41,357,326,0.91,186,2.3
24,new,30,Jun/23/2025,10:30:54,171,154,0.9,180,1.3
25,new,30,Jun/23/2025,10:31:13,373,347,0.93,199,1.7
25,old,30,Jun/23/2025,10:31:26,179,217,1.21,376,2.3
26,new,30,Jun/23/2025,10:31:37,393,347,0.88,167,1.3
26,old,30,Jun/23/2025,10:31:54,158,204,1.3,434,1.3
27,new,30,Jun/23/2025,10:32:20,394,340,0.86,155,1.6
27,old,30,Jun/23/2025,10:32:29,340,448,1.32,446,1.3
28,new,30,Jun/23/2025,10:32:48,161,171,1.07,288,1.3
28,old,30,Jun/23/2025,10:32:56,399,442,1.11,313,1.3
29,new,30,Jun/23/2025,10:33:11,421,389,0.92,193,3
29,old,30,Jun/23/2025,10:33:24,132,180,1.37,478,1.3
30,new,30,Jun/23/2025,10:33:35,168,149,0.89,174,2.2
30,old,30,Jun/23/2025,10:33:52,319,458,1.44,522,1.4
31,new,30,Jun/23/2025,10:34:03,237,255,1.08,294,1.4
31,old,30,Jun/23/2025,10:34:15,229,317,1.39,491,1.4
32,new,30,Jun/23/2025,10:34:41,345,263,0.77,97,1.4
32,old,30,Jun/23/2025,10:34:53,254,380,1.5,560,1.4
33,new,30,Jun/23/2025,10:35:09,216,178,0.83,136,1.4
33,old,30,Jun/23/2025,10:35:18,319,239,0.75,85,1.4
34,old,30,Jun/23/2025,10:35:45,921,975,1.06,281,1.4
34,old,30,Jun/23/2025,10:35:55,178,241,1.36,472,1.4
35,new,30,Jun/23/2025,10:36:17,276,225,0.82,129,1.4
35,old,30,Jun/23/2025,10:36:26,226,284,1.26,408,1.7
36,new,30,Jun/23/2025,10:36:42,288,210,0.73,72,1.4
36,old,30,Jun/23/2025,10:36:54,208,269,1.29,427,1.4
37,new,30,Jun/23/2025,10:37:10,216,185,0.86,155,1.4
37,old,30,Jun/23/2025,10:37:22,476,637,1.34,459,1.4
