Seedling_ID,Needle_Age,Temperature,ECI,ECF,%EL
29,new,30,55.88,106.60,52.420
29,new,40,50.01,118.80,42.096
29,old,30,17.75,103.10,17.216
29,old,40,21.95,111.20,19.739
30,new,25,12.14,109.80,11.056
30,new,35,41.81,154.70,27.027
30,old,25,23.71,115.10,20.599
30,old,35,27.62,127.70,21.629
31,new,30,12.87,88.57,14.531
31,new,40,17.17,102.70,16.719
31,old,30,11.67,72.54,16.088
31,old,40,16.98,89.04,19.070
32,new,25,10.40,81.40,12.776
32,new,35,9.93,79.07,12.558
32,old,25,12.00,8.56,140.187
32,old,35,15.49,80.75,19.183
33,new,30,14.47,130.10,11.122
33,new,40,18.10,135.00,13.407
33,old,30,13.63,96.58,14.113
33,old,40,19.17,102.60,18.684
34,old,25,19.77,92.58,21.355
34,old,35,14.52,92.20,15.748
35,new,30,9.08,58.45,15.535
35,new,40,9.31,60.11,15.488
35,old,30,31.77,186.90,16.998
35,old,40,21.13,117.80,17.937
36,new,25,22.38,96.66,23.153
36,new,35,11.60,105.70,10.974
36,old,25,30.42,82.75,36.761
36,old,35,23.91,95.58,25.016
37,new,30,14.69,130.80,11.231
37,new,40,13.10,105.10,12.464
37,old,30,16.29,99.52,16.369
37,old,40,17.48,21.02,83.159
