Seedling_ID,Needle_age,Measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
1,old,50,Jun/24/2025,16:27:46,143,160,1.13,326,
1,old,50,Jun/24/2025,16:27:55,214,227,1.06,281,
2,new,50,Jun/24/2025,16:28:07,284,330,1.16,345,
2,new,50,Jun/24/2025,16:28:37,106,115,1.09,300,
3,old,50,Jun/24/2025,16:28:48,250,260,1.04,269,
3,old,50,Jun/24/2025,16:28:59,224,216,0.97,224,
4,new,50,Jun/24/2025,16:29:28,137,92,0.68,40,
4,old,50,Jun/24/2025,16:29:35,111,160,1.45,529,
5,new,50,Jun/24/2025,16:30:01,144,155,1.08,294,
5,old,50,Jun/24/2025,16:30:12,225,302,1.35,465,
6,new,50,Jun/24/2025,16:30:25,170,202,1.19,364,
6,old,50,Jun/24/2025,16:30:36,209,262,1.26,408,
7,new,50,Jun/24/2025,16:30:50,288,339,1.18,357,
7,old,50,Jun/24/2025,16:31:02,295,435,1.48,548,
8,new,50,Jun/24/2025,16:31:12,253,234,0.93,199,
8,old,50,Jun/24/2025,16:31:21,121,162,1.34,459,
9,new,50,Jun/24/2025,16:31:58,122,167,1.38,484,
9,old,50,Jun/24/2025,16:32:09,179,246,1.38,484,
10,new,50,Jun/24/2025,16:32:20,132,157,1.19,364,
10,new,50,Jun/24/2025,16:32:41,169,267,1.58,611,
11,new,50,Jun/24/2025,16:32:56,166,251,1.52,573,
11,old,50,Jun/24/2025,16:33:11,99,125,1.27,414,003.6
12,new,50,Jun/24/2025,16:34:33,129,153,1.19,364,002.3
12,old,50,Jun/24/2025,16:34:44,191,167,0.88,167,002.3
13,new,50,Jun/24/2025,16:35:00,299,279,0.94,205,002.3
13,old,50,Jun/24/2025,16:35:12,135,202,1.5,560,002.3
14,new,50,Jun/24/2025,16:35:44,121,122,1.01,250,002.4
14,old,50,Jun/24/2025,16:35:55,326,460,1.41,503,002.4
15,new,50,Jun/24/2025,16:36:07,206,204,0.99,237,002.4
15,old,50,Jun/24/2025,16:36:16,108,146,1.36,472,002.4
16,new,50,Jun/24/2025,16:36:36,202,271,1.34,459,002.4
16,old,50,Jun/24/2025,16:36:48,220,339,1.54,586,002.4
17,new,50,Jun/24/2025,16:37:09,202,194,0.96,218,003.0
17,old,50,Jun/24/2025,16:37:20,153,223,1.46,535,002.5
18,new,50,Jun/24/2025,16:37:35,145,159,1.1,307,002.5
18,old,50,Jun/24/2025,16:37:46,136,187,1.38,484,002.5
19,new,50,Jun/24/2025,16:38:20,139,110,0.79,110,002.5
19,old,50,Jun/24/2025,16:38:42,188,283,1.51,567,002.5
