Seedling_ID,Needle_age,Measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
1,old,35,Jun/23/2025,13:47:03,186,187,1.01,250,
1,old,35,Jun/23/2025,13:47:17,192,237,1.24,395,
2,new,35,Jun/23/2025,13:47:27,555,529,0.95,212,
2,new,35,Jun/23/2025,13:47:37,458,468,1.02,256,
3,old,35,Jun/23/2025,13:47:55,227,224,0.99,237,
3,old,35,Jun/23/2025,13:48:05,207,227,1.1,307,
4,new,35,Jun/23/2025,13:48:24,328,312,0.95,212,
4,old,35,Jun/23/2025,13:48:34,104,154,1.49,554,
5,new,35,Jun/23/2025,13:48:44,193,220,1.14,332,
5,old,35,Jun/23/2025,13:48:55,112,151,1.35,465,
6,new,35,Jun/23/2025,13:49:10,334,345,1.03,262,
6,old,35,Jun/23/2025,13:49:18,286,342,1.2,370,
7,new,35,Jun/23/2025,13:49:30,490,366,0.75,85,
7,old,35,Jun/23/2025,13:49:40,227,290,1.28,421,
8,new,35,Jun/23/2025,13:49:54,166,177,1.07,288,
8,old,35,Jun/23/2025,13:50:03,219,272,1.24,395,
9,new,35,Jun/23/2025,13:50:21,198,243,1.23,389,
9,old,35,Jun/23/2025,13:50:37,112,161,1.44,522,
10,new,35,Jun/23/2025,13:51:15,203,217,1.07,288,
10,new,35,Jun/23/2025,13:51:30,189,262,1.39,491,
11,new,35,Jun/23/2025,13:51:54,388,524,1.35,465,
11,old,35,Jun/23/2025,13:52:07,383,487,1.27,414,
12,new,35,Jun/23/2025,13:52:34,155,105,0.68,40,
12,old,35,Jun/23/2025,13:53:15,183,135,0.74,78,
13,new,35,Jun/23/2025,13:53:38,572,590,1.03,262,
13,old,35,Jun/23/2025,13:53:49,157,239,1.53,579,
14,new,35,Jun/23/2025,13:54:01,144,154,1.07,288,
14,old,35,Jun/23/2025,13:54:19,131,161,1.23,389,
15,new,35,Jun/23/2025,13:54:30,450,416,0.93,199,
15,old,35,Jun/23/2025,13:54:41,173,189,1.09,300,
16,new,35,Jun/23/2025,13:54:57,187,166,0.89,174,
16,old,35,Jun/23/2025,13:55:27,230,335,1.46,535,
17,new,35,Jun/23/2025,13:55:39,636,607,0.96,218,
17,old,35,Jun/23/2025,13:55:51,174,237,1.37,478,
18,new,35,Jun/23/2025,13:56:03,392,324,0.83,136,
18,old,35,Jun/23/2025,13:56:14,145,210,1.45,529,
19,new,35,Jun/23/2025,13:56:31,219,189,0.86,155,
19,old,35,Jun/23/2025,13:56:41,328,357,1.09,300,
20,old,35,Jun/23/2025,13:57:06,228,354,1.55,592,
20,old,35,Jun/23/2025,13:57:14,189,241,1.28,421,
21,old,35,Jun/23/2025,13:57:25,309,411,1.33,453,
21,old,35,Jun/23/2025,13:57:34,266,314,1.18,357,
22,new,35,Jun/23/2025,13:57:44,288,362,1.26,408,
22,old,35,Jun/23/2025,13:57:56,311,420,1.35,465,3
23,new,35,Jun/23/2025,13:58:06,434,467,1.08,294,9.9
23,old,35,Jun/23/2025,13:58:24,165,241,1.46,535,3
24,new,35,Jun/23/2025,13:58:39,403,404,1,243,7
24,new,35,Jun/23/2025,13:58:57,323,307,0.95,212,2.9
25,new,35,Jun/23/2025,13:59:10,709,581,0.82,129,3
25,old,35,Jun/23/2025,13:59:19,281,319,1.14,332,3
26,new,35,Jun/23/2025,13:59:30,320,338,1.06,281,3
26,old,35,Jun/23/2025,13:59:40,141,178,1.27,414,4.6
27,new,35,Jun/23/2025,13:59:56,304,314,1.03,262,2.8
27,old,35,Jun/23/2025,14:00:06,129,203,1.58,611,2.8
28,new,35,Jun/23/2025,14:00:18,196,144,0.74,78,3
28,old,35,Jun/23/2025,14:00:28,385,453,1.18,357,2.8
29,new,35,Jun/23/2025,14:00:40,187,149,0.8,117,2.8
29,old,35,Jun/23/2025,14:00:53,193,329,1.71,693,2.8
30,new,35,Jun/23/2025,14:01:03,636,593,0.93,199,2.8
30,old,35,Jun/23/2025,14:01:31,165,171,1.04,269,2.8
31,new,35,Jun/23/2025,14:01:45,371,343,0.93,199,2.8
31,old,35,Jun/23/2025,14:02:10,294,357,1.22,383,2.8
32,new,35,Jun/23/2025,14:02:22,421,352,0.84,142,3.1
32,old,35,Jun/23/2025,14:02:32,182,255,1.4,497,2.8
33,new,35,Jun/23/2025,14:02:48,162,88,0.55,0,2.8
33,old,35,Jun/23/2025,14:03:03,271,175,0.65,21,2.8
34,old,35,Jun/23/2025,14:03:17,379,404,1.07,288,2.8
34,old,35,Jun/23/2025,14:03:31,195,257,1.32,446,2.8
35,new,35,Jun/23/2025,14:03:45,247,159,0.65,21,2.8
35,old,35,Jun/23/2025,14:03:56,157,184,1.17,351,3.2
36,new,35,Jun/23/2025,14:04:07,346,225,0.65,21,2.8
36,old,35,Jun/23/2025,14:04:16,254,317,1.25,402,7.4
37,new,35,Jun/23/2025,14:04:25,248,166,0.67,34,2.8
37,old,35,Jun/23/2025,14:04:35,296,411,1.39,491,2.8
75,,35,Jun/23/2025,14:04:50,138,102,0.74,78,2.8
76,,35,Jun/23/2025,14:04:59,163,114,0.7,53,2.8
