Seedling_ID,Needle_age,Measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
1,old,rec2,Jun/27/2025,9:53:49,469,498,1.06,281,
1,old,rec2,Jun/27/2025,9:54:16,139,143,1.04,269,
2,new,rec2,Jun/27/2025,9:54:31,232,247,1.07,288,
2,new,rec2,Jun/27/2025,9:54:40,225,257,1.15,338,
3,old,rec2,Jun/27/2025,9:54:53,272,299,1.1,307,
3,old,rec2,Jun/27/2025,9:55:05,162,160,0.99,237,002.7
4,new,rec2,Jun/27/2025,9:55:21,331,361,1.09,300,001.8
4,old,rec2,Jun/27/2025,9:55:30,117,155,1.33,453,001.6
5,new,rec2,Jun/27/2025,9:55:47,137,167,1.22,383,001.1
5,old,rec2,Jun/27/2025,9:56:00,161,214,1.33,453,001.1
6,new,rec2,Jun/27/2025,9:56:11,423,424,1,243,001.1
6,old,rec2,Jun/27/2025,9:56:28,170,257,1.52,573,001.0
8,new,rec2,Jun/27/2025,9:56:40,250,276,1.1,307,001.0
8,old,rec2,Jun/27/2025,9:56:50,279,424,1.52,573,001.0
9,new,rec2,Jun/27/2025,9:57:03,157,187,1.19,364,001.0
9,old,rec2,Jun/27/2025,9:57:12,248,337,1.36,472,001.1
10,new,rec2,Jun/27/2025,9:57:24,169,197,1.17,351,001.0
10,new,rec2,Jun/27/2025,9:57:47,255,394,1.55,592,000.9
7,new,rec2,Jun/27/2025,9:58:59,736,632,0.86,155,001.0
7,old,rec2,Jun/27/2025,9:59:16,248,378,1.52,573,000.9
11,new,rec2,Jun/27/2025,9:59:29,325,481,1.48,548,000.9
11,old,rec2,Jun/27/2025,9:59:39,332,508,1.53,579,000.9
12,new,rec2,Jun/27/2025,9:59:49,183,167,0.91,186,000.9
12,old,rec2,Jun/27/2025,10:00:02,206,242,1.18,357,000.9
13,new,rec2,Jun/27/2025,10:00:16,466,473,1.02,256,000.9
13,old,rec2,Jun/27/2025,10:00:33,128,179,1.4,497,000.9
14,new,rec2,Jun/27/2025,10:00:49,127,132,1.04,269,000.9
14,old,rec2,Jun/27/2025,10:01:13,354,511,1.45,529,000.8
15,new,rec2,Jun/27/2025,10:01:44,183,110,0.6,0,000.8
15,old,rec2,Jun/27/2025,10:02:05,140,189,1.35,465,000.9
16,new,rec2,Jun/27/2025,10:02:30,336,445,1.32,446,000.9
16,old,rec2,Jun/27/2025,10:03:01,229,368,1.61,630,000.8
17,new,rec2,Jun/27/2025,10:03:15,203,180,0.89,174,000.8
17,old,rec2,Jun/27/2025,10:03:31,184,254,1.38,484,000.8
18,new,rec2,Jun/27/2025,10:03:46,243,276,1.14,332,000.8
18,old,rec2,Jun/27/2025,10:04:04,128,170,1.33,453,000.8
19,new,rec2,Jun/27/2025,10:04:35,215,187,0.87,161,000.9
19,old,rec2,Jun/27/2025,10:04:50,213,214,1.01,250,000.8
