Seedling_ID,Needle_age,Measurement,Date,Time,F700 Lvl,F735 Lvl,CFR,Concentration (mg/m^2),DOP
1,old,40,Jun/23/2025,17:14:55,223,192,0.86,155,
1,old,40,Jun/23/2025,17:15:09,290,296,1.02,256,
2,new,40,Jun/23/2025,17:16:26,621,574,0.93,199,
2,new,40,Jun/23/2025,17:16:45,246,234,0.95,212,
3,old,40,Jun/23/2025,17:16:55,168,213,1.27,414,
3,old,40,Jun/23/2025,17:17:12,148,208,1.41,503,
4,new,40,Jun/23/2025,17:17:25,201,164,0.82,129,
4,old,40,Jun/23/2025,17:17:42,125,147,1.18,357,
5,new,40,Jun/23/2025,17:17:52,204,236,1.16,345,
5,old,40,Jun/23/2025,17:18:00,198,265,1.34,459,
6,new,40,Jun/23/2025,17:18:10,298,255,0.86,155,
6,old,40,Jun/23/2025,17:18:19,222,276,1.24,395,
7,new,40,Jun/23/2025,17:18:32,5,6,1.39,491,2.1
7,old,40,Jun/23/2025,17:18:45,194,262,1.35,465,2.1
8,new,40,Jun/23/2025,17:19:00,387,361,0.93,199,2.1
8,old,40,Jun/23/2025,17:19:12,202,293,1.45,529,3.3
9,new,40,Jun/23/2025,17:19:23,165,184,1.12,319,
9,old,40,Jun/23/2025,17:19:39,165,177,1.07,288,
10,new,40,Jun/23/2025,17:19:52,318,408,1.28,421,
10,new,40,Jun/23/2025,17:20:03,150,184,1.23,389,
11,new,40,Jun/23/2025,17:20:23,148,184,1.24,395,
11,old,40,Jun/23/2025,17:20:34,168,243,1.45,529,2.1
12,new,40,Jun/23/2025,17:21:02,126,100,0.8,117,2.1
12,old,40,Jun/23/2025,17:21:15,141,135,0.96,218,2.1
13,new,40,Jun/23/2025,17:21:35,343,300,0.88,167,2.1
13,old,40,Jun/23/2025,17:21:46,135,159,1.18,357,2.1
14,new,40,Jun/23/2025,17:22:00,144,126,0.88,167,3.3
14,old,40,Jun/23/2025,17:22:29,169,222,1.32,446,1.9
15,new,40,Jun/23/2025,17:22:40,296,276,0.93,199,3.2
15,old,40,Jun/23/2025,17:22:51,158,144,0.91,186,2.1
16,new,40,Jun/23/2025,17:23:11,345,267,0.78,104,
16,old,40,Jun/23/2025,17:23:20,149,194,1.31,440,2.1
17,new,40,Jun/23/2025,17:23:41,271,199,0.74,78,1.9
17,old,40,Jun/23/2025,17:23:52,146,197,1.36,472,3.2
18,new,40,Jun/23/2025,17:24:02,322,324,1.01,250,
18,old,40,Jun/23/2025,17:24:17,190,274,1.44,522,
19,new,40,Jun/23/2025,17:24:41,148,111,0.75,85,
19,old,40,Jun/23/2025,17:24:57,164,189,1.15,338,3.2
20,old,40,Jun/23/2025,17:25:08,147,177,1.2,370,1.9
20,old,40,Jun/23/2025,17:25:17,193,203,1.05,275,2.6
21,old,40,Jun/23/2025,17:25:29,258,286,1.11,313,1.9
21,old,40,Jun/23/2025,17:25:41,242,389,1.61,630,1.9
22,new,40,Jun/23/2025,17:25:51,411,453,1.1,307,2.1
22,old,40,Jun/23/2025,17:26:00,215,329,1.53,579,2.1
23,new,40,Jun/23/2025,17:26:09,291,356,1.22,383,1.7
23,old,40,Jun/23/2025,17:26:19,198,296,1.5,560,1.7
24,new,40,Jun/23/2025,17:26:31,139,147,1.06,281,1.7
24,new,40,Jun/23/2025,17:26:54,328,329,1.01,250,1.7
25,new,40,Jun/23/2025,17:27:06,359,279,0.78,104,2.1
25,old,40,Jun/23/2025,17:27:19,196,227,1.16,345,2.9
26,new,40,Jun/23/2025,17:27:32,272,270,1,243,1.7
26,old,40,Jun/23/2025,17:27:43,112,138,1.24,395,1.7
27,new,40,Jun/23/2025,17:28:02,200,272,1.36,472,1.7
27,old,40,Jun/23/2025,17:28:15,341,467,1.37,478,2.8
28,new,40,Jun/23/2025,17:28:34,207,225,1.09,300,1.3
28,old,40,Jun/23/2025,17:28:42,214,298,1.4,497,1.4
29,new,40,Jun/23/2025,17:28:58,179,185,1.04,269,2.1
29,old,40,Jun/23/2025,17:29:10,187,260,1.39,491,1.7
30,new,40,Jun/23/2025,17:29:20,483,413,0.86,155,1.8
30,old,40,Jun/23/2025,17:29:39,140,152,1.09,300,1.5
31,new,40,Jun/23/2025,17:29:54,262,211,0.81,123,1.5
31,old,40,Jun/23/2025,17:30:04,136,144,1.06,281,1.9
32,new,40,Jun/23/2025,17:30:18,124,107,0.87,161,1.5
32,old,40,Jun/23/2025,17:30:35,236,277,1.18,357,1.4
33,new,40,Jun/23/2025,17:30:54,143,111,0.78,104,1.5
33,old,40,Jun/23/2025,17:31:10,360,257,0.71,59,1.3
34,old,40,Jun/23/2025,17:31:21,559,567,1.02,256,1.3
34,old,40,Jun/23/2025,17:31:32,172,248,1.44,522,1.3
35,new,40,Jun/23/2025,17:31:49,268,224,0.84,142,1.3
35,old,40,Jun/23/2025,17:32:01,144,163,1.13,326,1.3
36,new,40,Jun/23/2025,17:32:20,392,361,0.92,193,1.3
36,old,40,Jun/23/2025,17:32:31,218,258,1.19,364,1.3
37,new,40,Jun/23/2025,17:32:44,244,178,0.73,72,1.3
37,old,40,Jun/23/2025,17:32:56,262,397,1.52,573,1.3
