"Needle_age","Prev_trmt","Elev","emmean","SE","df","lower.CL","upper.CL"
"new","control","high",0.975531923835758,0.524436394346161,55,-0.0754620964206354,2.02652594409215
"old","control","high",0.571556309037266,0.406226684289549,44,-0.247139778353695,1.39025239642823
"new","high","high",1.09465029348513,0.52443639434616,44,0.0377181894616725,2.15158239750858
"old","high","high",0.900774037584382,0.52443639434616,44,-0.156158066439072,1.95770614160784
"new","mod","high",0.920026036199783,0.370832530743192,44,0.172662178191034,1.66738989420853
"old","mod","high",0.684948588569679,0.321150392173278,44,0.0377125016637557,1.3321846754756
"new","control","low",0.721583292407871,0.454175240172889,44,-0.193746759751777,1.63691334456752
"old","control","low",0.805998423796387,0.321150392173279,44,0.158762336890463,1.45323451070231
"new","high","low",0.820811996459992,0.370832530743192,44,0.0734481384512431,1.56817585446874
"old","high","low",-0.254766505349805,0.370832530743192,44,-1.00213036335855,0.492597352658945
"new","mod","low",1.1029810298103,0.642300784346557,44,-0.191491144001547,2.39745320362215
"old","mod","low",0.0611033231631901,0.642300784346557,44,-1.23336885064866,1.35557549697504
