"Prev_trmt","Needle_age","Elev","emmean","SE","df","lower.CL","upper.CL"
"control","new","high",1.78000000122657,0.40776531785771,27,0.94333467848384,2.6166653239693
"high","new","high",1.06333333333333,0.40776531785771,22,0.217679822602906,1.90898684406376
"mod","new","high",1.54999999975693,0.288333621928994,22,0.952032666667169,2.14796733284669
"control","old","high",1.41599999926406,0.315853657753467,16,0.746420156414066,2.08557984211405
"high","old","high",1.46666666666667,0.40776531785771,16,0.602242808501469,2.33109052483187
"mod","old","high",1.57999999919867,0.266945062978601,16,1.01410174558938,2.14589825280796
"control","new","low",1.88999999698699,0.40776531785771,22,1.04434648625656,2.73565350771742
"high","new","low",1.35,0.288333621389875,22,0.752032668028302,1.9479673319717
"mod","new","low",1.38,0.499408481777591,22,0.344290199758616,2.41570980024139
"control","old","low",1.51714285829449,0.266945062978601,16,0.951244604685198,2.08304111190377
"high","old","low",1.24749999907446,0.353135124047013,16,0.498886978266044,1.99611301988288
"mod","old","low",1.13000000179498,0.706270248094026,16,-0.367226039821852,2.62722604341182
