Seedling_ID,ID2,Elev,Genotype,Micro,Needle_age,Prev_trmt,Trmt_2,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
31,b,low,k,uninoc,old,mod,control,0,Jul/04/2025,13:29:50,221,800,1021,0.783,3.619
32,a,low,k,uninoc,new,mod,control,0,Jul/04/2025,13:30:03,210,355,565,0.628,1.69
32,b,low,k,uninoc,old,mod,control,0,Jul/04/2025,13:30:12,282,839,1121,0.748,2.975
33,a,low,l,inoc,new,mod,control,0,Jul/04/2025,13:30:25,282,618,900,0.686,2.191
33,b,low,l,inoc,old,mod,control,0,Jul/04/2025,13:30:36,127,239,366,0.653,1.881
34,a,high,j,uninoc,old,mod,control,0,Jul/04/2025,13:30:47,294,782,1076,0.726,2.659
34,b,high,j,uninoc,old,mod,control,0,Jul/04/2025,13:30:57,90,203,293,0.692,2.255
35,a,low,k,uninoc,new,mod,control,0,Jul/04/2025,13:31:07,157,541,698,0.775,3.445
35,b,low,k,uninoc,old,mod,control,0,Jul/04/2025,13:31:16,247,979,1226,0.798,3.963
36,a,high,g,uninoc,new,mod,control,0,Jul/04/2025,13:31:28,252,525,777,0.675,2.083
36,b,high,g,uninoc,old,mod,control,0,Jul/04/2025,13:31:38,148,488,636,0.767,3.297
37,a,low,k,uninoc,new,mod,control,0,Jul/04/2025,13:31:49,187,404,591,0.683,2.16
37,b,low,k,uninoc,old,mod,control,0,Jul/04/2025,13:31:58,199,734,933,0.786,3.688
38,a,high,h,inoc,new,control,control,0,Jul/04/2025,13:32:12,181,491,672,0.73,2.712
38,b,high,h,inoc,old,control,control,0,Jul/04/2025,13:32:20,137,581,718,0.809,4.24
39,a,high,j,inoc,new,control,control,0,Jul/04/2025,13:32:29,223,884,1107,0.798,3.964
39,b,high,j,inoc,old,control,control,0,Jul/04/2025,13:32:54,210,753,963,0.781,3.585
40,a,low,n,inoc,new,control,control,0,Jul/04/2025,13:33:05,142,423,565,0.748,2.978
40,b,low,n,inoc,old,control,control,0,Jul/04/2025,13:33:19,84,323,407,0.793,3.845
41,a,low,k,uninoc,new,control,control,0,Jul/04/2025,13:33:36,165,480,645,0.744,2.909
41,b,low,k,uninoc,old,control,control,0,Jul/04/2025,13:33:48,114,554,668,0.829,4.859
42,a,high,g,uninoc,new,control,control,0,Jul/04/2025,13:33:57,246,775,1021,0.759,3.15
42,b,high,g,uninoc,old,control,control,0,Jul/04/2025,13:34:08,234,831,1065,0.78,3.551
43,a,high,h,uninoc,old,control,control,0,Jul/04/2025,13:34:20,194,691,885,0.78,3.561
43,b,high,h,uninoc,old,control,control,0,Jul/04/2025,13:34:31,190,691,881,0.784,3.636
44,a,high,h,uninoc,old,control,control,0,Jul/04/2025,13:34:43,158,605,763,0.792,3.829
44,b,high,h,uninoc,old,control,control,0,Jul/04/2025,13:34:53,200,819,1019,0.803,4.095
45,a,low,k,uninoc,new,control,control,0,Jul/04/2025,13:35:01,149,355,504,0.704,2.382
45,b,low,k,uninoc,old,control,control,0,Jul/04/2025,13:35:09,152,640,792,0.808,4.21
46,a,low,k,uninoc,new,control,control,0,Jul/04/2025,13:35:18,78,226,304,0.743,2.897
46,b,low,k,uninoc,old,control,control,0,Jul/04/2025,13:35:27,213,746,959,0.777,3.502
47,a,high,j,uninoc,old,control,control,0,Jul/04/2025,13:35:36,225,719,944,0.761,3.195
47,b,high,j,uninoc,old,control,control,0,Jul/04/2025,13:35:44,218,628,846,0.742,2.88
48,a,low,k,uninoc,new,control,heat,0,Jul/04/2025,13:35:54,191,372,563,0.66,1.947
48,b,low,k,uninoc,old,control,heat,0,Jul/04/2025,13:36:04,93,326,419,0.778,3.505
49,a,low,k,inoc,new,control,heat,0,Jul/04/2025,13:36:23,118,322,440,0.731,2.728
49,b,low,k,inoc,old,control,heat,0,Jul/04/2025,13:36:35,145,567,712,0.796,3.91
50,a,low,k,uninoc,new,control,heat,0,Jul/04/2025,13:36:45,113,374,487,0.767,3.309
50,b,low,k,uninoc,old,control,heat,0,Jul/04/2025,13:36:57,89,329,418,0.787,3.696
51,a,high,i,inoc,new,control,heat,0,Jul/04/2025,13:37:10,150,451,601,0.75,3.006
51,b,high,i,inoc,old,control,heat,0,Jul/04/2025,13:37:25,172,765,937,0.816,4.447
52,a,low,k,uninoc,old,control,heat,0,Jul/04/2025,13:37:35,304,814,1118,0.728,2.677
52,b,low,k,uninoc,old,control,heat,0,Jul/04/2025,13:37:44,209,679,888,0.764,3.248
53,a,low,k,uninoc,new,control,heat,0,Jul/04/2025,13:37:53,172,476,648,0.734,2.767
53,b,low,k,uninoc,old,control,heat,0,Jul/04/2025,13:38:02,157,698,855,0.816,4.445
54,a,high,g,uninoc,new,control,heat,0,Jul/04/2025,13:38:14,169,386,555,0.695,2.284
54,b,high,g,uninoc,old,control,heat,0,Jul/04/2025,13:38:26,54,168,222,0.756,3.111
55,a,high,h,uninoc,new,control,heat,0,Jul/04/2025,13:38:51,90,255,345,0.739,2.833
55,b,high,h,uninoc,old,control,heat,0,Jul/04/2025,13:39:01,218,1021,1239,0.824,4.683
56,a,low,m,inoc,old,control,heat,0,Jul/04/2025,13:39:12,153,441,594,0.742,2.882
56,b,low,m,inoc,old,control,heat,0,Jul/04/2025,13:39:22,133,508,641,0.792,3.819
57,a,high,g,uninoc,old,control,heat,0,Jul/04/2025,13:39:32,90,158,248,0.637,1.755
57,b,high,g,uninoc,old,control,heat,0,Jul/04/2025,13:39:48,160,484,644,0.751,3.025
11,a,high,j,uninoc,new,high,heat,3,Jul/05/2025,11:27:28,233,829,1062,0.78,3.557
11,b,high,j,uninoc,old,high,heat,3,Jul/05/2025,11:27:37,133,549,682,0.804,4.127
12,a,low,k,inoc,new,high,heat,3,Jul/05/2025,11:27:47,161,169,330,0.512,1.049
