Seedling_ID,Elev,Genotype,Micro,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
36,high,g,uninoc,new,25,Jun/23/2025,7:00:03,185,473,658,0.718,2.556
36,high,g,uninoc,old,25,Jun/23/2025,7:00:16,264,989,1253,0.789,3.746
37,low,k,uninoc,new,25,Jun/23/2025,7:00:27,207,584,791,0.738,2.821
37,low,k,uninoc,old,25,Jun/23/2025,7:00:39,299,1277,1576,0.81,4.27
1,high,g,uninoc,old,30,Jun/23/2025,10:09:14,304,682,986,0.691,2.243
1,high,g,uninoc,old,30,Jun/23/2025,10:09:26,355,562,917,0.612,1.583
2,high,h,inoc,new,30,Jun/23/2025,10:09:38,442,1018,1460,0.697,2.303
2,high,h,inoc,new,30,Jun/23/2025,10:09:52,358,900,1258,0.715,2.513
3,low,k,uninoc,old,30,Jun/23/2025,10:10:04,346,768,1114,0.689,2.219
3,low,k,uninoc,old,30,Jun/23/2025,10:10:14,267,841,1108,0.759,3.149
4,low,k,uninoc,new,30,Jun/23/2025,10:10:32,326,780,1106,0.705,2.392
4,low,k,uninoc,old,30,Jun/23/2025,10:10:42,221,838,1059,0.791,3.791
5,high,g,uninoc,new,30,Jun/23/2025,10:10:52,277,763,1040,0.733,2.754
5,high,g,uninoc,old,30,Jun/23/2025,10:11:03,270,1014,1284,0.789,3.755
6,high,h,uninoc,new,30,Jun/23/2025,10:11:14,293,819,1112,0.736,2.795
6,high,h,uninoc,old,30,Jun/23/2025,10:11:25,324,832,1156,0.719,2.567
7,low,k,uninoc,new,30,Jun/23/2025,10:11:39,346,753,1099,0.685,2.176
7,low,k,uninoc,old,30,Jun/23/2025,10:11:48,235,704,939,0.749,2.995
8,high,h,uninoc,new,30,Jun/23/2025,10:12:03,325,814,1139,0.714,2.504
8,high,h,uninoc,old,30,Jun/23/2025,10:12:11,257,825,1082,0.762,3.21
9,low,k,uninoc,new,30,Jun/23/2025,10:12:29,378,916,1294,0.707,2.423
9,low,k,uninoc,old,30,Jun/23/2025,10:12:44,112,185,297,0.622,1.651
10,high,h,inoc,new,30,Jun/23/2025,10:12:55,405,1027,1432,0.717,2.535
10,high,h,inoc,new,30,Jun/23/2025,10:13:07,299,845,1144,0.738,2.826
11,high,j,uninoc,new,30,Jun/23/2025,10:13:30,269,672,941,0.714,2.498
11,high,j,uninoc,old,30,Jun/23/2025,10:13:42,350,1150,1500,0.766,3.285
12,low,k,inoc,new,30,Jun/23/2025,10:13:51,258,192,450,0.426,0.744
12,low,k,inoc,old,30,Jun/23/2025,10:14:01,361,891,1252,0.711,2.468
13,low,k,uninoc,new,30,Jun/23/2025,10:14:12,394,864,1258,0.686,2.192
13,low,k,uninoc,old,30,Jun/23/2025,10:14:22,260,897,1157,0.775,3.45
14,low,k,inoc,new,30,Jun/23/2025,10:14:33,443,962,1405,0.684,2.171
14,low,k,inoc,old,30,Jun/23/2025,10:14:43,137,493,630,0.782,3.598
15,low,k,uninoc,new,30,Jun/23/2025,10:14:53,329,766,1095,0.699,2.328
15,low,k,uninoc,old,30,Jun/23/2025,10:15:01,205,601,806,0.745,2.931
16,high,i,inoc,new,30,Jun/23/2025,10:15:17,287,894,1181,0.756,3.114
16,high,i,inoc,old,30,Jun/23/2025,10:15:28,226,815,1041,0.782,3.606
17,low,k,uninoc,new,30,Jun/23/2025,10:15:39,425,807,1232,0.655,1.898
17,low,k,uninoc,old,30,Jun/23/2025,10:15:48,213,642,855,0.75,3.014
18,high,g,uninoc,new,30,Jun/23/2025,10:15:56,289,795,1084,0.733,2.75
18,high,g,uninoc,old,30,Jun/23/2025,10:16:05,204,765,969,0.789,3.75
19,low,h,inoc,new,30,Jun/23/2025,10:16:20,296,689,985,0.699,2.327
19,low,h,inoc,old,30,Jun/23/2025,10:16:30,349,632,981,0.644,1.81
20,high,g,uninoc,old,30,Jun/23/2025,10:16:45,234,754,988,0.763,3.222
20,high,g,uninoc,old,30,Jun/23/2025,10:16:55,101,237,338,0.701,2.346
21,high,h,uninoc,old,30,Jun/23/2025,10:17:06,279,920,1199,0.767,3.297
21,high,h,uninoc,old,30,Jun/23/2025,10:17:18,193,729,922,0.79,3.777
22,high,h,inoc,new,30,Jun/23/2025,10:17:27,382,1080,1462,0.738,2.827
22,high,h,inoc,old,30,Jun/23/2025,10:17:38,235,824,1059,0.778,3.506
23,high,j,uninoc,new,30,Jun/23/2025,10:17:49,304,862,1166,0.739,2.835
23,high,j,uninoc,old,30,Jun/23/2025,10:18:03,241,915,1156,0.791,3.796
24,high,i,inoc,new,30,Jun/23/2025,10:18:19,275,740,1015,0.729,2.69
24,high,i,inoc,new,30,Jun/23/2025,10:18:30,287,847,1134,0.746,2.951
25,high,h,uninoc,new,30,Jun/23/2025,10:18:39,343,644,987,0.652,1.877
25,high,h,uninoc,old,30,Jun/23/2025,10:18:51,226,548,774,0.708,2.424
26,low,k,uninoc,new,30,Jun/23/2025,10:19:01,342,702,1044,0.672,2.052
26,low,k,uninoc,old,30,Jun/23/2025,10:19:10,227,548,775,0.707,2.414
27,high,i,uninoc,new,30,Jun/23/2025,10:19:19,284,783,1067,0.733,2.757
27,high,i,uninoc,old,30,Jun/23/2025,10:19:27,201,689,890,0.774,3.427
28,low,k,inoc,new,30,Jun/23/2025,10:19:37,186,463,649,0.713,2.489
28,low,k,inoc,old,30,Jun/23/2025,10:19:46,314,745,1059,0.703,2.372
29,low,k,uninoc,new,30,Jun/23/2025,10:19:57,255,467,722,0.646,1.831
29,low,k,uninoc,old,30,Jun/23/2025,10:20:05,304,850,1154,0.736,2.796
30,low,k,uninoc,new,30,Jun/23/2025,10:20:14,373,722,1095,0.659,1.935
30,low,k,uninoc,old,30,Jun/23/2025,10:20:26,273,852,1125,0.757,3.12
31,low,k,uninoc,new,30,Jun/23/2025,10:20:39,290,656,946,0.693,2.262
31,low,k,uninoc,old,30,Jun/23/2025,10:20:50,235,494,729,0.677,2.102
32,low,k,uninoc,new,30,Jun/23/2025,10:21:01,196,422,618,0.682,2.153
32,low,k,uninoc,old,30,Jun/23/2025,10:21:09,417,1034,1451,0.712,2.479
33,low,l,inoc,new,30,Jun/23/2025,10:21:19,302,622,924,0.673,2.059
33,low,l,inoc,old,30,Jun/23/2025,10:21:32,190,347,537,0.646,1.826
34,high,j,uninoc,old,30,Jun/23/2025,10:21:43,358,852,1210,0.704,2.379
34,high,j,uninoc,old,30,Jun/23/2025,10:21:53,320,653,973,0.671,2.04
35,low,k,uninoc,new,30,Jun/23/2025,10:22:03,363,752,1115,0.674,2.071
35,low,k,uninoc,old,30,Jun/23/2025,10:22:14,329,1005,1334,0.753,3.054
36,high,g,uninoc,new,30,Jun/23/2025,10:22:26,272,499,771,0.647,1.834
36,high,g,uninoc,old,30,Jun/23/2025,10:22:51,318,997,1315,0.758,3.135
37,low,k,uninoc,new,30,Jun/23/2025,10:23:05,230,495,725,0.682,2.152
37,low,k,uninoc,old,30,Jun/23/2025,10:23:27,186,568,754,0.753,3.053
1,high,g,uninoc,old,35,Jun/23/2025,13:39:20,304,362,666,0.543,1.19
1,high,g,uninoc,old,35,Jun/23/2025,13:39:30,389,529,918,0.576,1.359
2,high,h,inoc,new,35,Jun/23/2025,13:39:39,487,889,1376,0.646,1.825
2,high,h,inoc,new,35,Jun/23/2025,13:39:54,416,702,1118,0.627,1.687
3,low,k,uninoc,old,35,Jun/23/2025,13:40:06,415,845,1260,0.67,2.036
3,low,k,uninoc,old,35,Jun/23/2025,13:40:17,272,890,1162,0.765,3.272
4,low,k,uninoc,new,35,Jun/23/2025,13:40:33,364,740,1104,0.67,2.032
4,low,k,uninoc,old,35,Jun/23/2025,13:40:43,218,808,1026,0.787,3.706
5,high,g,uninoc,new,35,Jun/23/2025,13:40:57,278,755,1033,0.73,2.715
5,high,g,uninoc,old,35,Jun/23/2025,13:41:12,297,1016,1313,0.773,3.42
6,high,h,uninoc,new,35,Jun/23/2025,13:41:29,298,572,870,0.657,1.919
6,high,h,uninoc,old,35,Jun/23/2025,13:41:44,369,776,1145,0.677,2.102
7,low,k,uninoc,new,35,Jun/23/2025,13:42:00,317,943,1260,0.748,2.974
7,low,k,uninoc,old,35,Jun/23/2025,13:42:10,288,899,1187,0.757,3.121
8,high,h,uninoc,new,35,Jun/23/2025,13:42:19,362,745,1107,0.672,2.058
8,high,h,uninoc,old,35,Jun/23/2025,13:42:28,232,696,928,0.75,3
9,low,k,uninoc,new,35,Jun/23/2025,13:42:46,340,857,1197,0.715,2.52
9,low,k,uninoc,old,35,Jun/23/2025,13:42:57,139,335,474,0.706,2.41
10,high,h,inoc,new,35,Jun/23/2025,13:43:23,483,1041,1524,0.683,2.155
10,high,h,inoc,new,35,Jun/23/2025,13:43:38,301,851,1152,0.738,2.827
11,high,j,uninoc,new,35,Jun/23/2025,13:44:32,295,593,888,0.667,2.01
11,high,j,uninoc,old,35,Jun/23/2025,13:44:44,326,1150,1476,0.779,3.527
12,low,k,inoc,new,35,Jun/23/2025,13:44:52,280,174,454,0.383,0.621
12,low,k,inoc,old,35,Jun/23/2025,13:45:02,368,937,1305,0.718,2.546
13,low,k,uninoc,new,35,Jun/23/2025,13:45:13,423,832,1255,0.662,1.966
13,low,k,uninoc,old,35,Jun/23/2025,13:45:22,272,911,1183,0.77,3.349
14,low,k,inoc,new,35,Jun/23/2025,13:45:34,422,942,1364,0.69,2.232
14,low,k,inoc,old,35,Jun/23/2025,13:45:42,129,502,631,0.795,3.891
15,low,k,uninoc,new,35,Jun/23/2025,13:45:53,401,733,1134,0.646,1.827
15,low,k,uninoc,old,35,Jun/23/2025,13:46:03,175,449,624,0.719,2.565
16,high,i,inoc,new,35,Jun/23/2025,13:46:19,326,890,1216,0.731,2.73
16,high,i,inoc,old,35,Jun/23/2025,13:46:32,232,648,880,0.736,2.793
17,low,k,uninoc,new,35,Jun/23/2025,13:46:47,480,697,1177,0.592,1.452
17,low,k,uninoc,old,35,Jun/23/2025,13:46:55,210,640,850,0.752,3.047
18,high,g,uninoc,new,35,Jun/23/2025,13:47:05,321,743,1064,0.698,2.314
18,high,g,uninoc,old,35,Jun/23/2025,13:47:17,164,604,768,0.786,3.682
19,low,h,inoc,new,35,Jun/23/2025,13:47:31,373,421,794,0.53,1.128
19,low,h,inoc,old,35,Jun/23/2025,13:47:42,386,593,979,0.605,1.536
20,high,g,uninoc,old,35,Jun/23/2025,13:47:56,242,675,917,0.736,2.789
20,high,g,uninoc,old,35,Jun/23/2025,13:48:05,118,307,425,0.722,2.601
21,high,h,uninoc,old,35,Jun/23/2025,13:48:16,323,924,1247,0.74,2.86
21,high,h,uninoc,old,35,Jun/23/2025,13:48:28,183,636,819,0.776,3.475
22,high,h,inoc,new,35,Jun/23/2025,13:48:39,409,959,1368,0.701,2.344
22,high,h,inoc,old,35,Jun/23/2025,13:48:48,229,826,1055,0.782,3.606
23,high,j,uninoc,new,35,Jun/23/2025,13:48:56,290,836,1126,0.742,2.882
23,high,j,uninoc,old,35,Jun/23/2025,13:49:09,261,811,1072,0.756,3.107
24,high,i,inoc,new,35,Jun/23/2025,13:49:22,320,665,985,0.675,2.078
24,high,i,inoc,new,35,Jun/23/2025,13:49:32,304,767,1071,0.716,2.523
25,high,h,uninoc,new,35,Jun/23/2025,13:49:43,373,564,937,0.601,1.512
25,high,h,uninoc,old,35,Jun/23/2025,13:49:54,215,501,716,0.699,2.33
26,low,k,uninoc,new,35,Jun/23/2025,13:50:04,347,704,1051,0.669,2.028
26,low,k,uninoc,old,35,Jun/23/2025,13:50:12,231,646,877,0.736,2.796
27,high,i,uninoc,new,35,Jun/23/2025,13:50:24,277,742,1019,0.728,2.678
27,high,i,uninoc,old,35,Jun/23/2025,13:50:33,66,184,250,0.736,2.787
28,low,k,inoc,new,35,Jun/23/2025,13:50:43,261,481,742,0.648,1.842
28,low,k,inoc,old,35,Jun/23/2025,13:50:53,351,736,1087,0.677,2.096
29,low,k,uninoc,new,35,Jun/23/2025,13:51:03,255,446,701,0.636,1.749
29,low,k,uninoc,old,35,Jun/23/2025,13:51:11,300,821,1121,0.732,2.736
30,low,k,uninoc,new,35,Jun/23/2025,13:51:20,365,688,1053,0.653,1.884
30,low,k,uninoc,old,35,Jun/23/2025,13:51:30,238,640,878,0.728,2.689
31,low,k,uninoc,new,35,Jun/23/2025,13:51:44,314,603,917,0.657,1.92
31,low,k,uninoc,old,35,Jun/23/2025,13:51:58,239,435,674,0.645,1.82
32,low,k,uninoc,new,35,Jun/23/2025,13:52:08,209,425,634,0.67,2.033
32,low,k,uninoc,old,35,Jun/23/2025,13:52:16,429,977,1406,0.694,2.277
33,low,l,inoc,new,35,Jun/23/2025,13:52:26,345,565,910,0.62,1.637
33,low,l,inoc,old,35,Jun/23/2025,13:52:36,176,296,472,0.627,1.681
34,high,j,uninoc,old,35,Jun/23/2025,13:52:50,207,402,609,0.66,1.942
34,high,j,uninoc,old,35,Jun/23/2025,13:52:58,321,646,967,0.668,2.012
35,low,k,uninoc,new,35,Jun/23/2025,13:53:07,396,728,1124,0.647,1.838
35,low,k,uninoc,old,35,Jun/23/2025,13:53:17,331,912,1243,0.733,2.755
36,high,g,uninoc,new,35,Jun/23/2025,13:53:31,268,506,774,0.653,1.888
36,high,g,uninoc,old,35,Jun/23/2025,13:53:41,314,994,1308,0.759,3.165
37,low,k,uninoc,new,35,Jun/23/2025,13:53:51,237,477,714,0.668,2.012
37,low,k,uninoc,old,35,Jun/23/2025,13:54:05,209,648,857,0.756,3.1
1,high,g,uninoc,old,40,Jun/23/2025,17:05:56,389,561,950,0.59,1.442
1,high,g,uninoc,old,40,Jun/23/2025,17:06:06,441,443,884,0.501,1.004
2,high,h,inoc,new,40,Jun/23/2025,17:06:17,638,606,1244,0.487,0.949
2,high,h,inoc,new,40,Jun/23/2025,17:06:27,409,702,1111,0.631,1.716
3,low,k,uninoc,old,40,Jun/23/2025,17:06:42,418,640,1058,0.604,1.531
3,low,k,uninoc,old,40,Jun/23/2025,17:06:50,309,849,1158,0.733,2.747
4,low,k,uninoc,new,40,Jun/23/2025,17:07:02,367,704,1071,0.657,1.918
4,low,k,uninoc,old,40,Jun/23/2025,17:07:12,308,573,881,0.65,1.86
5,high,g,uninoc,new,40,Jun/23/2025,17:07:21,318,689,1007,0.684,2.166
5,high,g,uninoc,old,40,Jun/23/2025,17:07:31,257,879,1136,0.773,3.42
6,high,h,uninoc,new,40,Jun/23/2025,17:07:42,386,694,1080,0.642,1.797
6,high,h,uninoc,old,40,Jun/23/2025,17:07:53,419,671,1090,0.615,1.601
7,low,k,uninoc,new,40,Jun/23/2025,17:08:04,377,615,992,0.619,1.631
7,low,k,uninoc,old,40,Jun/23/2025,17:08:11,236,647,883,0.732,2.741
8,high,h,uninoc,new,40,Jun/23/2025,17:08:21,308,838,1146,0.731,2.72
8,high,h,uninoc,old,40,Jun/23/2025,17:08:29,243,685,928,0.738,2.818
9,low,k,uninoc,new,40,Jun/23/2025,17:08:39,371,838,1209,0.693,2.258
9,low,k,uninoc,old,40,Jun/23/2025,17:08:52,150,174,324,0.537,1.16
10,high,h,inoc,new,40,Jun/23/2025,17:09:02,531,923,1454,0.634,1.738
10,high,h,inoc,new,40,Jun/23/2025,17:09:11,321,779,1100,0.708,2.426
11,high,j,uninoc,new,40,Jun/23/2025,17:09:35,340,613,953,0.643,1.802
11,high,j,uninoc,old,40,Jun/23/2025,17:09:44,362,1004,1366,0.734,2.773
12,low,k,inoc,new,40,Jun/23/2025,17:09:55,305,104,409,0.254,0.34
12,low,k,inoc,old,40,Jun/23/2025,17:10:06,384,892,1276,0.699,2.322
13,low,k,uninoc,new,40,Jun/23/2025,17:10:16,498,652,1150,0.566,1.309
13,low,k,uninoc,old,40,Jun/23/2025,17:10:24,295,855,1150,0.743,2.898
14,low,k,inoc,new,40,Jun/23/2025,17:10:35,509,802,1311,0.611,1.575
