Sample Number,Seedling_ID,Elev,Genotype,Micro,Age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
65,33,low,l,inoc,new,mod,0,Jul/04/2025,13:30:25,282,618,900,0.686,2.191
66,33,low,l,inoc,old,mod,0,Jul/04/2025,13:30:36,127,239,366,0.653,1.881
67,34,high,j,uninoc,old,mod,0,Jul/04/2025,13:30:47,294,782,1076,0.726,2.659
68,34,high,j,uninoc,old,mod,0,Jul/04/2025,13:30:57,90,203,293,0.692,2.255
69,35,low,k,uninoc,new,mod,0,Jul/04/2025,13:31:07,157,541,698,0.775,3.445
70,35,low,k,uninoc,old,mod,0,Jul/04/2025,13:31:16,247,979,1226,0.798,3.963
71,36,high,g,uninoc,new,mod,0,Jul/04/2025,13:31:28,252,525,777,0.675,2.083
72,36,high,g,uninoc,old,mod,0,Jul/04/2025,13:31:38,148,488,636,0.767,3.297
73,37,low,k,uninoc,new,mod,0,Jul/04/2025,13:31:49,187,404,591,0.683,2.16
74,37,low,k,uninoc,old,mod,0,Jul/04/2025,13:31:58,199,734,933,0.786,3.688
75,38,high,h,inoc,new,control,0,Jul/04/2025,13:32:12,181,491,672,0.73,2.712
76,38,high,h,inoc,old,control,0,Jul/04/2025,13:32:20,137,581,718,0.809,4.24
77,39,high,j,inoc,new,control,0,Jul/04/2025,13:32:29,223,884,1107,0.798,3.964
78,39,high,j,inoc,old,control,0,Jul/04/2025,13:32:54,210,753,963,0.781,3.585
79,40,low,n,inoc,new,control,0,Jul/04/2025,13:33:05,142,423,565,0.748,2.978
80,40,low,n,inoc,old,control,0,Jul/04/2025,13:33:19,84,323,407,0.793,3.845
81,41,low,k,uninoc,new,control,0,Jul/04/2025,13:33:36,165,480,645,0.744,2.909
82,41,low,k,uninoc,old,control,0,Jul/04/2025,13:33:48,114,554,668,0.829,4.859
83,42,high,g,uninoc,new,control,0,Jul/04/2025,13:33:57,246,775,1021,0.759,3.15
84,42,high,g,uninoc,old,control,0,Jul/04/2025,13:34:08,234,831,1065,0.78,3.551
85,43,high,h,uninoc,old,control,0,Jul/04/2025,13:34:20,194,691,885,0.78,3.561
86,43,high,h,uninoc,old,control,0,Jul/04/2025,13:34:31,190,691,881,0.784,3.636
87,44,high,h,uninoc,old,control,0,Jul/04/2025,13:34:43,158,605,763,0.792,3.829
88,44,high,h,uninoc,old,control,0,Jul/04/2025,13:34:53,200,819,1019,0.803,4.095
89,45,low,k,uninoc,new,control,0,Jul/04/2025,13:35:01,149,355,504,0.704,2.382
90,45,low,k,uninoc,old,control,0,Jul/04/2025,13:35:09,152,640,792,0.808,4.21
91,46,low,k,uninoc,new,control,0,Jul/04/2025,13:35:18,78,226,304,0.743,2.897
92,46,low,k,uninoc,old,control,0,Jul/04/2025,13:35:27,213,746,959,0.777,3.502
93,47,high,j,uninoc,old,control,0,Jul/04/2025,13:35:36,225,719,944,0.761,3.195
94,47,high,j,uninoc,old,control,0,Jul/04/2025,13:35:44,218,628,846,0.742,2.88
95,48,low,k,uninoc,new,control,0,Jul/04/2025,13:35:54,191,372,563,0.66,1.947
96,48,low,k,uninoc,old,control,0,Jul/04/2025,13:36:04,93,326,419,0.778,3.505
97,49,low,k,inoc,new,control,0,Jul/04/2025,13:36:23,118,322,440,0.731,2.728
98,49,low,k,inoc,old,control,0,Jul/04/2025,13:36:35,145,567,712,0.796,3.91
99,50,low,k,uninoc,new,control,0,Jul/04/2025,13:36:45,113,374,487,0.767,3.309
100,50,low,k,uninoc,old,control,0,Jul/04/2025,13:36:57,89,329,418,0.787,3.696
101,51,high,i,inoc,new,control,0,Jul/04/2025,13:37:10,150,451,601,0.75,3.006
102,51,high,i,inoc,old,control,0,Jul/04/2025,13:37:25,172,765,937,0.816,4.447
103,52,low,k,uninoc,old,control,0,Jul/04/2025,13:37:35,304,814,1118,0.728,2.677
104,52,low,k,uninoc,old,control,0,Jul/04/2025,13:37:44,209,679,888,0.764,3.248
105,53,low,k,uninoc,new,control,0,Jul/04/2025,13:37:53,172,476,648,0.734,2.767
106,53,low,k,uninoc,old,control,0,Jul/04/2025,13:38:02,157,698,855,0.816,4.445
107,54,high,g,uninoc,new,control,0,Jul/04/2025,13:38:14,169,386,555,0.695,2.284
108,54,high,g,uninoc,old,control,0,Jul/04/2025,13:38:26,54,168,222,0.756,3.111
109,55,high,h,uninoc,new,control,0,Jul/04/2025,13:38:51,90,255,345,0.739,2.833
110,55,high,h,uninoc,old,control,0,Jul/04/2025,13:39:01,218,1021,1239,0.824,4.683
111,56,low,m,inoc,old,control,0,Jul/04/2025,13:39:12,153,441,594,0.742,2.882
112,56,low,m,inoc,old,control,0,Jul/04/2025,13:39:22,133,508,641,0.792,3.819
113,57,high,g,uninoc,old,control,0,Jul/04/2025,13:39:32,90,158,248,0.637,1.755
114,57,high,g,uninoc,old,control,0,Jul/04/2025,13:39:48,160,484,644,0.751,3.025
