Seedling_ID,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,old,40,Jun/23/2025,17:05:56,389,561,950,0.59,1.442
1,old,40,Jun/23/2025,17:06:06,441,443,884,0.501,1.004
2,new,40,Jun/23/2025,17:06:17,638,606,1244,0.487,0.949
2,new,40,Jun/23/2025,17:06:27,409,702,1111,0.631,1.716
3,old,40,Jun/23/2025,17:06:42,418,640,1058,0.604,1.531
3,old,40,Jun/23/2025,17:06:50,309,849,1158,0.733,2.747
4,new,40,Jun/23/2025,17:07:02,367,704,1071,0.657,1.918
4,old,40,Jun/23/2025,17:07:12,308,573,881,0.65,1.86
5,new,40,Jun/23/2025,17:07:21,318,689,1007,0.684,2.166
5,old,40,Jun/23/2025,17:07:31,257,879,1136,0.773,3.42
6,new,40,Jun/23/2025,17:07:42,386,694,1080,0.642,1.797
6,old,40,Jun/23/2025,17:07:53,419,671,1090,0.615,1.601
7,new,40,Jun/23/2025,17:08:04,377,615,992,0.619,1.631
7,old,40,Jun/23/2025,17:08:11,236,647,883,0.732,2.741
8,new,40,Jun/23/2025,17:08:21,308,838,1146,0.731,2.72
8,old,40,Jun/23/2025,17:08:29,243,685,928,0.738,2.818
9,new,40,Jun/23/2025,17:08:39,371,838,1209,0.693,2.258
9,old,40,Jun/23/2025,17:08:52,150,174,324,0.537,1.16
10,new,40,Jun/23/2025,17:09:02,531,923,1454,0.634,1.738
10,new,40,Jun/23/2025,17:09:11,321,779,1100,0.708,2.426
11,new,40,Jun/23/2025,17:09:35,340,613,953,0.643,1.802
11,old,40,Jun/23/2025,17:09:44,362,1004,1366,0.734,2.773
12,new,40,Jun/23/2025,17:09:55,305,104,409,0.254,0.34
12,old,40,Jun/23/2025,17:10:06,384,892,1276,0.699,2.322
13,new,40,Jun/23/2025,17:10:16,498,652,1150,0.566,1.309
13,old,40,Jun/23/2025,17:10:24,295,855,1150,0.743,2.898
14,new,40,Jun/23/2025,17:10:35,509,802,1311,0.611,1.575
14,old,40,Jun/23/2025,17:10:45,173,445,618,0.72,2.572
15,new,40,Jun/23/2025,17:11:00,497,579,1076,0.538,1.164
15,old,40,Jun/23/2025,17:11:08,185,378,563,0.671,2.043
16,new,40,Jun/23/2025,17:11:20,322,894,1216,0.735,2.776
16,old,40,Jun/23/2025,17:11:31,259,655,914,0.716,2.528
17,new,40,Jun/23/2025,17:11:41,510,572,1082,0.528,1.121
17,old,40,Jun/23/2025,17:11:49,239,574,813,0.706,2.401
18,new,40,Jun/23/2025,17:12:01,364,651,1015,0.641,1.788
18,old,40,Jun/23/2025,17:12:10,187,506,693,0.73,2.705
19,new,40,Jun/23/2025,17:12:20,383,560,943,0.593,1.462
19,old,40,Jun/23/2025,17:12:31,446,570,1016,0.561,1.278
20,old,40,Jun/23/2025,17:12:44,241,612,853,0.717,2.539
20,old,40,Jun/23/2025,17:12:53,122,268,390,0.687,2.196
21,old,40,Jun/23/2025,17:13:03,311,639,950,0.672,2.054
21,old,40,Jun/23/2025,17:13:13,232,605,837,0.722,2.607
22,new,40,Jun/23/2025,17:13:24,456,797,1253,0.636,1.747
22,old,40,Jun/23/2025,17:13:34,296,662,958,0.691,2.236
23,new,40,Jun/23/2025,17:13:42,346,758,1104,0.686,2.19
23,old,40,Jun/23/2025,17:13:51,253,727,980,0.741,2.873
24,new,40,Jun/23/2025,17:14:05,360,556,916,0.606,1.544
24,new,40,Jun/23/2025,17:14:17,270,501,771,0.649,1.855
25,new,40,Jun/23/2025,17:14:28,432,415,847,0.489,0.96
25,old,40,Jun/23/2025,17:14:38,216,382,598,0.638,1.768
26,new,40,Jun/23/2025,17:14:48,429,569,998,0.57,1.326
26,old,40,Jun/23/2025,17:14:58,257,601,858,0.7,2.338
27,new,40,Jun/23/2025,17:15:07,351,564,915,0.616,1.606
27,old,40,Jun/23/2025,17:15:15,60,144,204,0.705,2.4
28,new,40,Jun/23/2025,17:15:25,312,401,713,0.562,1.285
28,old,40,Jun/23/2025,17:15:34,432,550,982,0.56,1.273
29,new,40,Jun/23/2025,17:15:44,355,424,779,0.544,1.194
29,old,40,Jun/23/2025,17:15:52,318,786,1104,0.711,2.471
30,new,40,Jun/23/2025,17:16:01,473,485,958,0.506,1.025
30,old,40,Jun/23/2025,17:16:11,272,576,848,0.679,2.117
31,new,40,Jun/23/2025,17:16:26,353,516,869,0.593,1.461
31,old,40,Jun/23/2025,17:16:36,229,358,587,0.609,1.563
32,new,40,Jun/23/2025,17:16:45,229,408,637,0.64,1.781
32,old,40,Jun/23/2025,17:16:53,452,906,1358,0.667,2.004
33,new,40,Jun/23/2025,17:17:02,408,383,791,0.484,0.938
33,old,40,Jun/23/2025,17:17:12,167,187,354,0.528,1.119
34,old,40,Jun/23/2025,17:17:26,253,299,552,0.541,1.181
34,old,40,Jun/23/2025,17:17:35,350,584,934,0.625,1.668
35,new,40,Jun/23/2025,17:17:44,433,642,1075,0.597,1.482
35,old,40,Jun/23/2025,17:17:54,338,826,1164,0.709,2.443
36,new,40,Jun/23/2025,17:18:06,310,464,774,0.599,1.496
36,old,40,Jun/23/2025,17:18:17,375,807,1182,0.682,2.152
37,new,40,Jun/23/2025,17:18:28,240,335,575,0.582,1.395
37,old,40,Jun/23/2025,17:18:40,210,561,771,0.727,2.671
