Seedling_ID,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
20,old,rec1,Jun/24/2025,14:58:44,161,593,754,0.786,3.683
20,old,rec1,Jun/24/2025,14:58:53,162,515,677,0.76,3.179
21,old,rec1,Jun/24/2025,14:59:03,210,539,749,0.719,2.566
21,old,rec1,Jun/24/2025,14:59:12,240,721,961,0.75,3.004
22,new,rec1,Jun/24/2025,14:59:23,287,528,815,0.647,1.839
22,old,rec1,Jun/24/2025,14:59:34,295,651,946,0.688,2.206
23,new,rec1,Jun/24/2025,14:59:48,165,515,680,0.757,3.121
23,old,rec1,Jun/24/2025,14:59:57,194,480,674,0.712,2.474
24,new,rec1,Jun/24/2025,15:00:10,259,644,903,0.713,2.486
24,new,rec1,Jun/24/2025,15:00:21,213,721,934,0.771,3.384
25,new,rec1,Jun/24/2025,15:00:36,239,319,558,0.571,1.334
25,old,rec1,Jun/24/2025,15:00:47,190,659,849,0.776,3.468
26,new,rec1,Jun/24/2025,15:01:00,299,87,386,0.225,0.29
26,old,rec1,Jun/24/2025,15:01:13,292,531,823,0.645,1.818
27,new,rec1,Jun/24/2025,15:01:25,312,760,1072,0.708,2.435
27,old,rec1,Jun/24/2025,15:01:37,209,856,1065,0.803,4.095
28,new,rec1,Jun/24/2025,15:01:48,433,402,835,0.481,0.928
28,old,rec1,Jun/24/2025,15:01:59,313,606,919,0.659,1.936
29,new,rec1,Jun/24/2025,15:02:11,256,430,686,0.626,1.679
29,old,rec1,Jun/24/2025,15:02:20,240,813,1053,0.772,3.387
30,new,rec1,Jun/24/2025,15:02:31,458,850,1308,0.649,1.855
30,old,rec1,Jun/24/2025,15:02:42,257,937,1194,0.784,3.645
31,new,rec1,Jun/24/2025,15:03:01,259,490,749,0.654,1.891
31,old,rec1,Jun/24/2025,15:03:11,184,619,803,0.77,3.364
32,new,rec1,Jun/24/2025,15:03:23,270,688,958,0.718,2.548
32,old,rec1,Jun/24/2025,15:03:32,364,1138,1502,0.757,3.126
33,new,rec1,Jun/24/2025,15:03:43,202,184,386,0.476,0.91
33,old,rec1,Jun/24/2025,15:03:56,137,72,209,0.344,0.525
34,old,rec1,Jun/24/2025,15:04:09,315,652,967,0.674,2.069
34,old,rec1,Jun/24/2025,15:04:19,340,872,1212,0.719,2.564
35,new,rec1,Jun/24/2025,15:04:28,291,810,1101,0.735,2.783
35,old,rec1,Jun/24/2025,15:04:37,227,909,1136,0.8,4.004
36,new,rec1,Jun/24/2025,15:04:50,186,428,614,0.697,2.301
36,old,rec1,Jun/24/2025,15:05:00,178,535,713,0.75,3.005
37,new,rec1,Jun/24/2025,15:05:13,386,237,623,0.38,0.613
37,old,rec1,Jun/24/2025,15:05:39,139,197,336,0.586,1.417
