Sample Number,Seedling_ID,Elev,Genotype,Micro,Needle_age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,11,high,j,uninoc,new,high,7,Jul/05/2025,15:30:01,364,357,721,0.495,0.98
2,11,high,j,uninoc,old,high,7,Jul/05/2025,15:30:09,342,153,495,0.309,0.447
3,12,low,k,inoc,new,high,7,Jul/05/2025,15:30:18,348,91,439,0.207,0.261
4,12,low,k,inoc,old,high,7,Jul/05/2025,15:30:27,203,393,596,0.659,1.935
5,13,low,k,uninoc,new,high,7,Jul/05/2025,15:30:38,351,484,835,0.579,1.378
6,13,low,k,uninoc,old,high,7,Jul/05/2025,15:30:46,298,399,697,0.572,1.338
7,14,low,k,inoc,new,high,7,Jul/05/2025,15:30:56,572,182,754,0.241,0.318
8,14,low,k,inoc,old,high,7,Jul/05/2025,15:31:05,276,199,475,0.418,0.721
9,15,low,k,uninoc,new,high,7,Jul/05/2025,15:31:14,258,55,313,0.175,0.213
10,15,low,k,uninoc,old,high,7,Jul/05/2025,15:31:23,137,105,242,0.433,0.766
11,16,high,i,inoc,new,high,7,Jul/05/2025,15:31:35,310,418,728,0.574,1.348
12,16,high,i,inoc,old,high,7,Jul/05/2025,15:31:47,333,921,1254,0.734,2.765
13,17,low,k,uninoc,new,high,7,Jul/05/2025,15:31:56,368,10,378,0.026,0.027
14,17,low,k,uninoc,old,high,7,Jul/05/2025,15:32:04,424,148,572,0.258,0.349
15,18,high,g,uninoc,new,high,7,Jul/05/2025,15:32:13,204,136,340,0.4,0.666
16,18,high,g,uninoc,old,high,7,Jul/05/2025,15:32:22,304,395,699,0.565,1.299
17,19,low,h,inoc,new,high,7,Jul/05/2025,15:32:34,323,30,353,0.084,0.092
18,19,low,h,inoc,old,high,7,Jul/05/2025,15:32:48,161,127,288,0.44,0.788
19,20,high,g,uninoc,old,mod,7,Jul/05/2025,15:32:57,215,238,453,0.525,1.106
20,20,high,g,uninoc,old,mod,7,Jul/05/2025,15:33:05,114,91,205,0.443,0.798
21,21,high,h,uninoc,old,mod,7,Jul/05/2025,15:33:13,313,296,609,0.486,0.945
22,21,high,h,uninoc,old,mod,7,Jul/05/2025,15:33:22,587,234,821,0.285,0.398
23,22,high,h,inoc,new,mod,7,Jul/05/2025,15:33:31,411,74,485,0.152,0.18
24,22,high,h,inoc,old,mod,7,Jul/05/2025,15:33:40,764,188,952,0.197,0.246
25,23,high,j,uninoc,new,mod,7,Jul/05/2025,15:33:51,431,119,550,0.216,0.276
26,23,high,j,uninoc,old,mod,7,Jul/05/2025,15:34:00,419,345,764,0.451,0.823
27,24,high,i,inoc,new,mod,7,Jul/05/2025,15:34:11,746,154,900,0.171,0.206
28,24,high,i,inoc,new,mod,7,Jul/05/2025,15:34:20,260,532,792,0.671,2.046
29,25,high,h,uninoc,new,mod,7,Jul/05/2025,15:34:29,493,105,598,0.175,0.212
30,25,high,h,uninoc,old,mod,7,Jul/05/2025,15:34:37,52,26,78,0.333,0.5
31,26,low,k,uninoc,new,mod,7,Jul/05/2025,15:34:49,202,82,284,0.288,0.405
32,26,low,k,uninoc,old,mod,7,Jul/05/2025,15:34:57,203,458,661,0.692,2.256
33,27,high,i,uninoc,new,mod,7,Jul/05/2025,15:35:09,227,69,296,0.233,0.303
34,27,high,i,uninoc,old,mod,7,Jul/05/2025,15:35:17,266,462,728,0.634,1.736
35,28,low,k,inoc,new,mod,7,Jul/05/2025,15:35:26,261,96,357,0.268,0.367
36,28,low,k,inoc,old,mod,7,Jul/05/2025,15:35:35,396,93,489,0.19,0.234
37,48,low,k,uninoc,new,control,7,Jul/05/2025,15:35:43,658,0,658,0,0
38,48,low,k,uninoc,old,control,7,Jul/05/2025,15:35:52,342,203,545,0.372,0.593
39,49,low,k,inoc,new,control,7,Jul/05/2025,15:36:05,391,160,551,0.29,0.409
40,49,low,k,inoc,old,control,7,Jul/05/2025,15:36:13,344,179,523,0.342,0.52
41,50,low,k,uninoc,new,control,7,Jul/05/2025,15:36:26,375,36,411,0.087,0.096
42,50,low,k,uninoc,old,control,7,Jul/05/2025,15:36:35,274,350,624,0.56,1.277
43,51,high,i,inoc,new,control,7,Jul/05/2025,15:36:46,573,60,633,0.094,0.104
44,51,high,i,inoc,old,control,7,Jul/05/2025,15:37:00,211,349,560,0.623,1.654
45,52,low,k,uninoc,old,control,7,Jul/05/2025,15:37:10,438,289,727,0.397,0.659
46,52,low,k,uninoc,old,control,7,Jul/05/2025,15:37:20,264,490,754,0.649,1.856
47,53,low,k,uninoc,new,control,7,Jul/05/2025,15:37:31,459,325,784,0.414,0.708
48,53,low,k,uninoc,old,control,7,Jul/05/2025,15:37:41,157,91,248,0.366,0.579
49,54,high,g,uninoc,new,control,7,Jul/05/2025,15:37:50,375,125,500,0.25,0.333
50,54,high,g,uninoc,old,control,7,Jul/05/2025,15:38:00,84,18,102,0.176,0.214
51,55,high,h,uninoc,new,control,7,Jul/05/2025,15:38:13,637,0,637,0,0
52,55,high,h,uninoc,old,control,7,Jul/05/2025,15:38:24,616,125,741,0.168,0.202
53,56,low,m,inoc,old,control,7,Jul/05/2025,15:38:35,248,194,442,0.438,0.782
54,56,low,m,inoc,old,control,7,Jul/05/2025,15:38:43,342,227,569,0.398,0.663
55,57,high,g,uninoc,old,control,7,Jul/05/2025,15:38:52,497,169,666,0.253,0.34
56,57,high,g,uninoc,old,control,7,Jul/05/2025,15:39:01,244,172,416,0.413,0.704
