Seedling_ID,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,old,rec2,Jun/27/2025,13:19:02,354,450,804,0.559,1.271
1,old,rec2,Jun/27/2025,13:19:11,231,485,716,0.677,2.099
2,new,rec2,Jun/27/2025,13:19:21,410,412,822,0.501,1.004
2,new,rec2,Jun/27/2025,13:19:29,268,743,1011,0.734,2.772
3,old,rec2,Jun/27/2025,13:19:37,323,505,828,0.609,1.563
3,old,rec2,Jun/27/2025,13:19:45,129,495,624,0.793,3.837
4,new,rec2,Jun/27/2025,13:19:57,211,350,561,0.623,1.658
4,old,rec2,Jun/27/2025,13:20:06,330,1069,1399,0.764,3.239
5,new,rec2,Jun/27/2025,13:20:19,208,418,626,0.667,2.009
5,old,rec2,Jun/27/2025,13:20:26,330,884,1214,0.728,2.678
6,new,rec2,Jun/27/2025,13:20:36,332,502,834,0.601,1.512
6,old,rec2,Jun/27/2025,13:20:44,297,622,919,0.676,2.094
7,new,rec2,Jun/27/2025,13:20:56,418,684,1102,0.62,1.636
7,old,rec2,Jun/27/2025,13:21:04,291,1054,1345,0.783,3.621
8,new,rec2,Jun/27/2025,13:21:11,235,656,891,0.736,2.791
8,old,rec2,Jun/27/2025,13:21:17,187,642,829,0.774,3.433
9,new,rec2,Jun/27/2025,13:21:30,250,502,752,0.667,2.008
9,old,rec2,Jun/27/2025,13:21:39,75,211,286,0.737,2.813
10,new,rec2,Jun/27/2025,13:21:50,310,455,765,0.594,1.467
10,new,rec2,Jun/27/2025,13:22:00,196,613,809,0.757,3.127
11,new,rec2,Jun/27/2025,13:22:12,216,792,1008,0.785,3.666
11,old,rec2,Jun/27/2025,13:22:20,144,462,606,0.762,3.208
12,new,rec2,Jun/27/2025,13:22:28,104,92,196,0.469,0.884
12,old,rec2,Jun/27/2025,13:22:36,108,309,417,0.741,2.861
13,new,rec2,Jun/27/2025,13:22:49,185,265,450,0.588,1.432
13,old,rec2,Jun/27/2025,13:22:58,210,399,609,0.655,1.9
14,new,rec2,Jun/27/2025,13:23:08,340,412,752,0.547,1.211
14,old,rec2,Jun/27/2025,13:23:20,108,474,582,0.814,4.388
15,new,rec2,Jun/27/2025,13:23:30,203,330,533,0.619,1.625
15,old,rec2,Jun/27/2025,13:23:38,140,494,634,0.779,3.528
16,new,rec2,Jun/27/2025,13:23:49,192,697,889,0.784,3.63
16,old,rec2,Jun/27/2025,13:24:01,150,406,556,0.73,2.706
17,new,rec2,Jun/27/2025,13:24:11,224,419,643,0.651,1.87
17,old,rec2,Jun/27/2025,13:24:24,153,642,795,0.807,4.196
18,new,rec2,Jun/27/2025,13:24:32,92,302,394,0.766,3.282
18,old,rec2,Jun/27/2025,13:24:41,238,808,1046,0.772,3.394
19,new,rec2,Jun/27/2025,13:24:52,346,328,674,0.486,0.947
19,old,rec2,Jun/27/2025,13:25:04,239,656,895,0.732,2.744
