Sample Number,Seedling_ID,Elev,Genotype,Micro,Needle_age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,11,high,j,uninoc,new,high,5,Jul/05/2025,13:28:59,318,460,778,0.591,1.446
2,11,high,j,uninoc,old,high,5,Jul/05/2025,13:29:14,202,341,543,0.627,1.688
3,12,low,k,inoc,new,high,5,Jul/05/2025,13:29:24,290,107,397,0.269,0.368
4,12,low,k,inoc,old,high,5,Jul/05/2025,13:30:09,104,70,174,0.402,0.673
5,13,low,k,uninoc,new,high,5,Jul/05/2025,13:30:19,251,485,736,0.658,1.932
6,13,low,k,uninoc,old,high,5,Jul/05/2025,13:30:27,265,414,679,0.609,1.562
7,14,low,k,inoc,new,high,5,Jul/05/2025,13:30:35,477,320,797,0.401,0.67
8,14,low,k,inoc,old,high,5,Jul/05/2025,13:30:45,222,284,506,0.561,1.279
9,15,low,k,uninoc,new,high,5,Jul/05/2025,13:30:54,271,104,375,0.277,0.383
10,15,low,k,uninoc,old,high,5,Jul/05/2025,13:31:03,105,195,300,0.65,1.857
11,16,high,i,inoc,new,high,5,Jul/05/2025,13:31:15,270,519,789,0.657,1.922
12,16,high,i,inoc,old,high,5,Jul/05/2025,13:31:31,98,185,283,0.653,1.887
13,17,low,k,uninoc,new,high,5,Jul/05/2025,13:31:43,293,57,350,0.162,0.194
14,17,low,k,uninoc,old,high,5,Jul/05/2025,13:31:53,364,226,590,0.383,0.62
15,18,high,g,uninoc,new,high,5,Jul/05/2025,13:32:02,113,161,274,0.587,1.424
16,18,high,g,uninoc,old,high,5,Jul/05/2025,13:32:21,232,414,646,0.64,1.784
17,19,low,h,inoc,new,high,5,Jul/05/2025,13:32:36,300,66,366,0.18,0.22
18,19,low,h,inoc,old,high,5,Jul/05/2025,13:32:52,207,115,322,0.357,0.555
19,20,high,g,uninoc,old,mod,5,Jul/05/2025,13:33:02,281,323,604,0.534,1.149
20,20,high,g,uninoc,old,mod,5,Jul/05/2025,13:33:10,131,192,323,0.594,1.465
21,21,high,h,uninoc,old,mod,5,Jul/05/2025,13:33:19,547,333,880,0.378,0.608
22,21,high,h,uninoc,old,mod,5,Jul/05/2025,13:33:28,242,261,503,0.518,1.078
23,22,high,h,inoc,new,mod,5,Jul/05/2025,13:33:37,349,116,465,0.249,0.332
24,22,high,h,inoc,old,mod,5,Jul/05/2025,13:33:48,764,253,1017,0.248,0.331
25,23,high,j,uninoc,new,mod,5,Jul/05/2025,13:34:00,384,173,557,0.31,0.45
26,23,high,j,uninoc,old,mod,5,Jul/05/2025,13:34:10,312,501,813,0.616,1.605
27,24,high,i,inoc,new,mod,5,Jul/05/2025,13:34:20,731,202,933,0.216,0.276
28,24,high,i,inoc,new,mod,5,Jul/05/2025,13:34:29,278,590,868,0.679,2.122
29,25,high,h,uninoc,new,mod,5,Jul/05/2025,13:34:37,426,182,608,0.299,0.427
30,25,high,h,uninoc,old,mod,5,Jul/05/2025,13:34:48,107,109,216,0.504,1.018
31,26,low,k,uninoc,new,mod,5,Jul/05/2025,13:34:57,115,72,187,0.385,0.626
32,26,low,k,uninoc,old,mod,5,Jul/05/2025,13:35:05,126,140,266,0.526,1.111
33,27,high,i,uninoc,new,mod,5,Jul/05/2025,13:35:21,366,129,495,0.26,0.352
34,27,high,i,uninoc,old,mod,5,Jul/05/2025,13:35:29,367,540,907,0.595,1.471
35,28,low,k,inoc,new,mod,5,Jul/05/2025,13:35:38,305,159,464,0.342,0.521
36,28,low,k,inoc,old,mod,5,Jul/05/2025,13:35:46,471,211,682,0.309,0.447
37,48,low,k,uninoc,new,control,5,Jul/05/2025,13:35:56,510,19,529,0.035,0.037
38,48,low,k,uninoc,old,control,5,Jul/05/2025,13:36:09,256,389,645,0.603,1.519
39,49,low,k,inoc,new,control,5,Jul/05/2025,13:36:21,328,230,558,0.412,0.701
40,49,low,k,inoc,old,control,5,Jul/05/2025,13:36:37,336,246,582,0.422,0.732
41,50,low,k,uninoc,new,control,5,Jul/05/2025,13:36:47,347,91,438,0.207,0.262
42,50,low,k,uninoc,old,control,5,Jul/05/2025,13:36:57,329,291,620,0.469,0.884
43,51,high,i,inoc,new,control,5,Jul/05/2025,13:37:09,487,179,666,0.268,0.367
44,51,high,i,inoc,old,control,5,Jul/05/2025,13:37:26,179,308,487,0.632,1.72
45,52,low,k,uninoc,old,control,5,Jul/05/2025,13:38:06,376,335,711,0.471,0.89
46,52,low,k,uninoc,old,control,5,Jul/05/2025,13:38:15,248,560,808,0.693,2.258
47,53,low,k,uninoc,new,control,5,Jul/05/2025,13:38:25,79,56,135,0.414,0.708
48,53,low,k,uninoc,old,control,5,Jul/05/2025,13:38:40,114,168,282,0.595,1.473
49,54,high,g,uninoc,new,control,5,Jul/05/2025,13:38:53,70,6,76,0.078,0.085
50,54,high,g,uninoc,old,control,5,Jul/05/2025,13:39:07,133,95,228,0.416,0.714
51,55,high,h,uninoc,new,control,5,Jul/05/2025,13:39:32,555,4,559,0.007,0.007
52,55,high,h,uninoc,old,control,5,Jul/05/2025,13:39:47,580,274,854,0.32,0.472
53,56,low,m,inoc,old,control,5,Jul/05/2025,13:39:57,293,271,564,0.48,0.924
54,56,low,m,inoc,old,control,5,Jul/05/2025,13:40:08,216,288,504,0.571,1.333
55,57,high,g,uninoc,old,control,5,Jul/05/2025,13:40:17,429,244,673,0.362,0.568
56,57,high,g,uninoc,old,control,5,Jul/05/2025,13:40:26,287,208,495,0.42,0.724
