Sample Number,Seedling_ID,Elev,Genotype,Micro,Needle_age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,11,high,j,uninoc,new,high,6,Jul/05/2025,14:32:23,317,453,770,0.588,1.429
2,11,high,j,uninoc,old,high,6,Jul/05/2025,14:32:31,299,195,494,0.394,0.652
3,12,low,k,inoc,new,high,6,Jul/05/2025,14:32:54,305,112,417,0.268,0.367
4,12,low,k,inoc,old,high,6,Jul/05/2025,14:33:17,128,163,291,0.56,1.273
5,13,low,k,uninoc,new,high,6,Jul/05/2025,14:33:27,268,524,792,0.661,1.955
6,13,low,k,uninoc,old,high,6,Jul/05/2025,14:33:35,293,426,719,0.592,1.453
7,14,low,k,inoc,new,high,6,Jul/05/2025,14:33:46,492,256,748,0.342,0.52
8,14,low,k,inoc,old,high,6,Jul/05/2025,14:33:54,223,217,440,0.493,0.973
9,15,low,k,uninoc,new,high,6,Jul/05/2025,14:34:04,226,92,318,0.289,0.407
10,15,low,k,uninoc,old,high,6,Jul/05/2025,14:34:15,134,204,338,0.603,1.522
11,16,high,i,inoc,new,high,6,Jul/05/2025,14:34:28,277,483,760,0.635,1.743
12,16,high,i,inoc,old,high,6,Jul/05/2025,14:34:45,210,39,249,0.156,0.185
13,17,low,k,uninoc,new,high,6,Jul/05/2025,14:35:06,292,32,324,0.098,0.109
14,17,low,k,uninoc,old,high,6,Jul/05/2025,14:35:15,339,161,500,0.322,0.474
15,18,high,g,uninoc,new,high,6,Jul/05/2025,14:35:26,207,214,421,0.508,1.033
16,18,high,g,uninoc,old,high,6,Jul/05/2025,14:35:36,212,338,550,0.614,1.594
17,19,low,h,inoc,new,high,6,Jul/05/2025,14:35:48,316,43,359,0.119,0.136
18,19,low,h,inoc,old,high,6,Jul/05/2025,14:36:00,150,128,278,0.46,0.853
19,20,high,g,uninoc,old,mod,6,Jul/05/2025,14:36:22,206,356,562,0.633,1.728
20,20,high,g,uninoc,old,mod,6,Jul/05/2025,14:36:30,149,181,330,0.548,1.214
21,21,high,h,uninoc,old,mod,6,Jul/05/2025,14:36:42,252,259,511,0.506,1.027
22,21,high,h,uninoc,old,mod,6,Jul/05/2025,14:36:52,558,269,827,0.325,0.482
23,22,high,h,inoc,new,mod,6,Jul/05/2025,14:37:02,458,129,587,0.219,0.281
24,22,high,h,inoc,old,mod,6,Jul/05/2025,14:37:12,745,202,947,0.213,0.271
25,23,high,j,uninoc,new,mod,6,Jul/05/2025,14:37:25,442,154,596,0.258,0.348
26,23,high,j,uninoc,old,mod,6,Jul/05/2025,14:37:39,377,475,852,0.557,1.259
27,24,high,i,inoc,new,mod,6,Jul/05/2025,14:37:53,745,160,905,0.176,0.214
28,24,high,i,inoc,new,mod,6,Jul/05/2025,14:38:05,288,610,898,0.679,2.118
29,25,high,h,uninoc,new,mod,6,Jul/05/2025,14:38:16,430,146,576,0.253,0.339
30,25,high,h,uninoc,old,mod,6,Jul/05/2025,14:38:26,123,117,240,0.487,0.951
31,26,low,k,uninoc,new,mod,6,Jul/05/2025,14:38:45,151,80,231,0.346,0.529
32,26,low,k,uninoc,old,mod,6,Jul/05/2025,14:38:55,158,430,588,0.731,2.721
33,27,high,i,uninoc,new,mod,6,Jul/05/2025,14:39:17,373,104,477,0.218,0.278
34,27,high,i,uninoc,old,mod,6,Jul/05/2025,14:39:27,298,477,775,0.615,1.6
35,28,low,k,inoc,new,mod,6,Jul/05/2025,14:39:36,277,114,391,0.291,0.411
36,28,low,k,inoc,old,mod,6,Jul/05/2025,14:39:47,452,170,622,0.273,0.376
37,48,low,k,uninoc,new,control,6,Jul/05/2025,14:39:58,666,6,672,0.008,0.009
38,48,low,k,uninoc,old,control,6,Jul/05/2025,14:40:10,256,226,482,0.468,0.882
39,49,low,k,inoc,new,control,6,Jul/05/2025,14:40:21,366,188,554,0.339,0.513
40,49,low,k,inoc,old,control,6,Jul/05/2025,14:40:36,333,220,553,0.397,0.66
41,50,low,k,uninoc,new,control,6,Jul/05/2025,14:40:52,357,64,421,0.152,0.179
42,50,low,k,uninoc,old,control,6,Jul/05/2025,14:41:02,205,375,580,0.646,1.829
43,51,high,i,inoc,new,control,6,Jul/05/2025,14:41:12,393,80,473,0.169,0.203
44,51,high,i,inoc,old,control,6,Jul/05/2025,14:41:21,97,148,245,0.604,1.525
45,52,low,k,uninoc,old,control,6,Jul/05/2025,14:41:38,406,325,731,0.444,0.8
46,52,low,k,uninoc,old,control,6,Jul/05/2025,14:41:47,251,498,749,0.664,1.984
47,53,low,k,uninoc,new,control,6,Jul/05/2025,14:41:59,457,356,813,0.437,0.778
48,53,low,k,uninoc,old,control,6,Jul/05/2025,14:42:10,121,115,236,0.487,0.95
49,54,high,g,uninoc,new,control,6,Jul/05/2025,14:42:59,409,121,530,0.228,0.295
50,54,high,g,uninoc,old,control,6,Jul/05/2025,14:43:08,123,21,144,0.145,0.17
51,55,high,h,uninoc,new,control,6,Jul/05/2025,14:43:18,554,0,554,0,0
52,55,high,h,uninoc,old,control,6,Jul/05/2025,14:43:31,642,191,833,0.229,0.297
53,56,low,m,inoc,old,control,6,Jul/05/2025,14:43:44,228,220,448,0.491,0.964
54,56,low,m,inoc,old,control,6,Jul/05/2025,14:43:52,342,251,593,0.423,0.733
55,57,high,g,uninoc,old,control,6,Jul/05/2025,14:44:02,442,185,627,0.295,0.418
56,57,high,g,uninoc,old,control,6,Jul/05/2025,14:44:12,299,178,477,0.373,0.595
