Sample Number,Seedling_ID,Elev,Genotype,Micro,Needle_age,Prev_trmt,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,11,high,j,uninoc,new,high,rec2,Jul/07/2025,13:11:45,240,855,1095,0.78,3.562
2,11,high,j,uninoc,old,high,rec2,Jul/07/2025,13:11:52,204,563,767,0.734,2.759
3,12,low,k,inoc,new,high,rec2,Jul/07/2025,13:12:01,260,214,474,0.451,0.823
4,12,low,k,inoc,old,high,rec2,Jul/07/2025,13:12:11,208,632,840,0.752,3.038
5,13,low,k,uninoc,new,high,rec2,Jul/07/2025,13:12:21,332,785,1117,0.702,2.364
6,13,low,k,uninoc,old,high,rec2,Jul/07/2025,13:12:29,201,466,667,0.698,2.318
7,14,low,k,inoc,new,high,rec2,Jul/07/2025,13:12:40,308,387,695,0.556,1.256
8,14,low,k,inoc,old,high,rec2,Jul/07/2025,13:12:50,209,432,641,0.673,2.066
9,15,low,k,uninoc,new,high,rec2,Jul/07/2025,13:12:59,183,230,413,0.556,1.256
10,15,low,k,uninoc,old,high,rec2,Jul/07/2025,13:13:12,206,653,859,0.76,3.169
11,16,high,i,inoc,new,high,rec2,Jul/07/2025,13:13:25,82,282,364,0.774,3.439
12,16,high,i,inoc,old,high,rec2,Jul/07/2025,13:13:34,214,738,952,0.775,3.448
13,17,low,k,uninoc,new,high,rec2,Jul/07/2025,13:13:43,312,577,889,0.649,1.849
14,17,low,k,uninoc,old,high,rec2,Jul/07/2025,13:13:52,190,497,687,0.723,2.615
15,18,high,g,uninoc,new,high,rec2,Jul/07/2025,13:14:02,254,654,908,0.72,2.574
16,18,high,g,uninoc,old,high,rec2,Jul/07/2025,13:14:13,187,509,696,0.731,2.721
17,19,low,h,inoc,new,high,rec2,Jul/07/2025,13:14:23,203,199,402,0.495,0.98
18,19,low,h,inoc,old,high,rec2,Jul/07/2025,13:14:36,307,490,797,0.614,1.596
19,20,high,g,uninoc,old,mod,rec2,Jul/07/2025,13:14:49,188,526,714,0.736,2.797
20,20,high,g,uninoc,old,mod,rec2,Jul/07/2025,13:14:58,117,96,213,0.45,0.82
21,21,high,h,uninoc,old,mod,rec2,Jul/07/2025,13:15:10,184,373,557,0.669,2.027
