Seedling_ID,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,old,35,Jun/23/2025,13:39:20,304,362,666,0.543,1.19
1,old,35,Jun/23/2025,13:39:30,389,529,918,0.576,1.359
2,new,35,Jun/23/2025,13:39:39,487,889,1376,0.646,1.825
2,new,35,Jun/23/2025,13:39:54,416,702,1118,0.627,1.687
3,old,35,Jun/23/2025,13:40:06,415,845,1260,0.67,2.036
3,old,35,Jun/23/2025,13:40:17,272,890,1162,0.765,3.272
4,new,35,Jun/23/2025,13:40:33,364,740,1104,0.67,2.032
4,old,35,Jun/23/2025,13:40:43,218,808,1026,0.787,3.706
5,new,35,Jun/23/2025,13:40:57,278,755,1033,0.73,2.715
5,old,35,Jun/23/2025,13:41:12,297,1016,1313,0.773,3.42
6,new,35,Jun/23/2025,13:41:29,298,572,870,0.657,1.919
6,old,35,Jun/23/2025,13:41:44,369,776,1145,0.677,2.102
7,new,35,Jun/23/2025,13:42:00,317,943,1260,0.748,2.974
7,old,35,Jun/23/2025,13:42:10,288,899,1187,0.757,3.121
8,new,35,Jun/23/2025,13:42:19,362,745,1107,0.672,2.058
8,old,35,Jun/23/2025,13:42:28,232,696,928,0.75,3
9,new,35,Jun/23/2025,13:42:46,340,857,1197,0.715,2.52
9,old,35,Jun/23/2025,13:42:57,139,335,474,0.706,2.41
10,new,35,Jun/23/2025,13:43:23,483,1041,1524,0.683,2.155
10,new,35,Jun/23/2025,13:43:38,301,851,1152,0.738,2.827
11,new,35,Jun/23/2025,13:44:32,295,593,888,0.667,2.01
11,old,35,Jun/23/2025,13:44:44,326,1150,1476,0.779,3.527
12,new,35,Jun/23/2025,13:44:52,280,174,454,0.383,0.621
12,old,35,Jun/23/2025,13:45:02,368,937,1305,0.718,2.546
13,new,35,Jun/23/2025,13:45:13,423,832,1255,0.662,1.966
13,old,35,Jun/23/2025,13:45:22,272,911,1183,0.77,3.349
14,new,35,Jun/23/2025,13:45:34,422,942,1364,0.69,2.232
14,old,35,Jun/23/2025,13:45:42,129,502,631,0.795,3.891
15,new,35,Jun/23/2025,13:45:53,401,733,1134,0.646,1.827
15,old,35,Jun/23/2025,13:46:03,175,449,624,0.719,2.565
16,new,35,Jun/23/2025,13:46:19,326,890,1216,0.731,2.73
16,old,35,Jun/23/2025,13:46:32,232,648,880,0.736,2.793
17,new,35,Jun/23/2025,13:46:47,480,697,1177,0.592,1.452
17,old,35,Jun/23/2025,13:46:55,210,640,850,0.752,3.047
18,new,35,Jun/23/2025,13:47:05,321,743,1064,0.698,2.314
18,old,35,Jun/23/2025,13:47:17,164,604,768,0.786,3.682
19,new,35,Jun/23/2025,13:47:31,373,421,794,0.53,1.128
19,old,35,Jun/23/2025,13:47:42,386,593,979,0.605,1.536
20,old,35,Jun/23/2025,13:47:56,242,675,917,0.736,2.789
20,old,35,Jun/23/2025,13:48:05,118,307,425,0.722,2.601
21,old,35,Jun/23/2025,13:48:16,323,924,1247,0.74,2.86
21,old,35,Jun/23/2025,13:48:28,183,636,819,0.776,3.475
22,new,35,Jun/23/2025,13:48:39,409,959,1368,0.701,2.344
22,old,35,Jun/23/2025,13:48:48,229,826,1055,0.782,3.606
23,new,35,Jun/23/2025,13:48:56,290,836,1126,0.742,2.882
23,old,35,Jun/23/2025,13:49:09,261,811,1072,0.756,3.107
24,new,35,Jun/23/2025,13:49:22,320,665,985,0.675,2.078
24,new,35,Jun/23/2025,13:49:32,304,767,1071,0.716,2.523
25,new,35,Jun/23/2025,13:49:43,373,564,937,0.601,1.512
25,old,35,Jun/23/2025,13:49:54,215,501,716,0.699,2.33
26,new,35,Jun/23/2025,13:50:04,347,704,1051,0.669,2.028
26,old,35,Jun/23/2025,13:50:12,231,646,877,0.736,2.796
27,new,35,Jun/23/2025,13:50:24,277,742,1019,0.728,2.678
27,old,35,Jun/23/2025,13:50:33,66,184,250,0.736,2.787
28,new,35,Jun/23/2025,13:50:43,261,481,742,0.648,1.842
28,old,35,Jun/23/2025,13:50:53,351,736,1087,0.677,2.096
29,new,35,Jun/23/2025,13:51:03,255,446,701,0.636,1.749
29,old,35,Jun/23/2025,13:51:11,300,821,1121,0.732,2.736
30,new,35,Jun/23/2025,13:51:20,365,688,1053,0.653,1.884
30,old,35,Jun/23/2025,13:51:30,238,640,878,0.728,2.689
31,new,35,Jun/23/2025,13:51:44,314,603,917,0.657,1.92
31,old,35,Jun/23/2025,13:51:58,239,435,674,0.645,1.82
32,new,35,Jun/23/2025,13:52:08,209,425,634,0.67,2.033
32,old,35,Jun/23/2025,13:52:16,429,977,1406,0.694,2.277
33,new,35,Jun/23/2025,13:52:26,345,565,910,0.62,1.637
33,old,35,Jun/23/2025,13:52:36,176,296,472,0.627,1.681
34,old,35,Jun/23/2025,13:52:50,207,402,609,0.66,1.942
34,old,35,Jun/23/2025,13:52:58,321,646,967,0.668,2.012
35,new,35,Jun/23/2025,13:53:07,396,728,1124,0.647,1.838
35,old,35,Jun/23/2025,13:53:17,331,912,1243,0.733,2.755
36,new,35,Jun/23/2025,13:53:31,268,506,774,0.653,1.888
36,old,35,Jun/23/2025,13:53:41,314,994,1308,0.759,3.165
37,new,35,Jun/23/2025,13:53:51,237,477,714,0.668,2.012
37,old,35,Jun/23/2025,13:54:05,209,648,857,0.756,3.1
