Seedling_ID,Needle_age,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
1,old,50,Jun/24/2025,16:19:20,570,226,796,0.283,0.396
1,old,50,Jun/24/2025,16:19:30,720,199,919,0.216,0.276
2,new,50,Jun/24/2025,16:20:02,1082,12,1094,0.01,0.011
2,new,50,Jun/24/2025,16:20:14,778,121,899,0.134,0.155
3,old,50,Jun/24/2025,16:20:24,735,362,1097,0.329,0.492
3,old,50,Jun/24/2025,16:20:32,753,329,1082,0.304,0.436
4,new,50,Jun/24/2025,16:20:41,619,272,891,0.305,0.439
4,old,50,Jun/24/2025,16:20:49,612,223,835,0.267,0.364
5,new,50,Jun/24/2025,16:20:58,706,145,851,0.17,0.205
5,old,50,Jun/24/2025,16:21:06,783,371,1154,0.321,0.473
6,new,50,Jun/24/2025,16:21:15,722,74,796,0.092,0.102
6,old,50,Jun/24/2025,16:21:27,743,167,910,0.183,0.224
7,new,50,Jun/24/2025,16:21:41,588,171,759,0.225,0.29
7,old,50,Jun/24/2025,16:21:55,437,385,822,0.468,0.881
8,new,50,Jun/24/2025,16:22:16,486,535,1021,0.523,1.1
8,old,50,Jun/24/2025,16:22:25,597,439,1036,0.423,0.735
9,new,50,Jun/24/2025,16:22:40,566,481,1047,0.459,0.849
9,old,50,Jun/24/2025,16:22:48,481,211,692,0.304,0.438
10,new,50,Jun/24/2025,16:23:07,609,165,774,0.213,0.27
10,new,50,Jun/24/2025,16:23:17,449,358,807,0.443,0.797
11,new,50,Jun/24/2025,16:23:34,417,247,664,0.371,0.592
11,old,50,Jun/24/2025,16:23:42,915,222,1137,0.195,0.242
12,new,50,Jun/24/2025,16:23:52,365,16,381,0.041,0.043
12,old,50,Jun/24/2025,16:24:01,506,649,1155,0.561,1.282
13,new,50,Jun/24/2025,16:24:10,829,126,955,0.131,0.151
13,old,50,Jun/24/2025,16:24:18,480,537,1017,0.528,1.118
14,new,50,Jun/24/2025,16:24:27,725,423,1148,0.368,0.583
14,old,50,Jun/24/2025,16:24:38,128,6,134,0.044,0.046
15,new,50,Jun/24/2025,16:24:53,783,157,940,0.167,0.2
15,old,50,Jun/24/2025,16:25:06,316,71,387,0.183,0.224
16,new,50,Jun/24/2025,16:26:05,471,757,1228,0.616,1.607
16,old,50,Jun/24/2025,16:26:17,517,276,793,0.348,0.533
17,new,50,Jun/24/2025,16:26:29,798,250,1048,0.238,0.313
17,old,50,Jun/24/2025,16:26:37,422,361,783,0.461,0.855
18,new,50,Jun/24/2025,16:26:46,444,400,844,0.473,0.9
18,old,50,Jun/24/2025,16:26:57,505,315,820,0.384,0.623
19,new,50,Jun/24/2025,16:27:07,654,175,829,0.211,0.267
19,old,50,Jun/24/2025,16:27:18,947,73,1020,0.071,0.077
